id,start,end,duration,text_len,text,video_id
0,0.0,17.0,17.0,199,"Bão Assani dự báo khi đi vào Biển Đông sẽ suy yếu dần, lúc 13h hôm nay tâm bão Assani ở trên vùng biển phía nam đảo Đài Loan cường độ cấp 10 giật cấp 12, dự báo trong 24h tới bão sẽ đi vào Biển Đông.",b2IDNL9ySTY.f251
1,17.0,26.0,9.0,114,"Đến 13h ngày mai, tâm bão ở khoảng 22,1 độ Vĩ Bắc, 118,2 độ Kinh Đông, cường độ bão cấp 8, cấp 9 giật trên cấp 11.",b2IDNL9ySTY.f251
2,27.0,34.0,7.0,126,"Trong 24 đến 48 giờ tiếp theo, khi di chuyển tới phía Bắc của huyện đảo Hoàng Sa, bão sẽ suy yếu dần, thành áp thấp nhiệt đới.",b2IDNL9ySTY.f251
3,36.0,44.0,8.0,133,"Còn vào lúc này, những cơn mưa to đến rất cao do ảnh hưởng của bão số 10 vẫn đang tiếp tục diễn ra ở khu vực miền núi tỉnh Quảng Nam.",b2IDNL9ySTY.f251
4,44.0,51.0,7.0,109,"Nguy cơ tái diễn tình trạng sạt lờ đất tại các huyện Bắc Trà Mi, Nam Trà Mi, Phước Sơn, Tây Giang là rất cao.",b2IDNL9ySTY.f251
5,51.0,58.0,7.0,125,"Trước tình hình này, tỉnh Quảng Nam đã tiến hành sơ tán trên diện rộng người dân tại các khu dân cư có nguy cơ bị sạt lờ cao.",b2IDNL9ySTY.f251
6,58.0,65.0,7.0,107,"Về việc tìm kiếm 18 người còn mất tích tại xã Trà Leng, xã Trà Mai của huyện Nam Trà Mi và huyện Phước Sơn,",b2IDNL9ySTY.f251
7,65.0,69.0,4.0,69,"hiện quân đội, công an, biên phòng vẫn duy trì lực lượng tại địa bàn.",b2IDNL9ySTY.f251
8,69.0,76.0,7.0,127,Nhưng việc tìm kiếm phải tạm dừng do mưa lũ phức tạp. Lực lượng này sẽ nối lại hoạt động ngay sau khi thời tiết được thuận lợi.,b2IDNL9ySTY.f251
9,82.0,86.0,4.0,76,Hoàng Lưu bão số 10 cũng đã gây ra mưa lớn trên địa bàn của tỉnh Quảng Ngãi.,b2IDNL9ySTY.f251
10,86.0,89.0,3.0,56,Từ đêm qua đến sáng nay khiến cho nhiều nơi bị ngập sâu.,b2IDNL9ySTY.f251
11,89.0,94.0,5.0,74,"Nước lũ lên nhanh trong đêm khiến cho nhiều nhà dân bị ngập từ 1 đến 1,5m.",b2IDNL9ySTY.f251
12,94.0,99.0,5.0,79,Thị xã Đức Phổ là địa phương ngập nặng nhất với hơn 800 vụ dân bị cô lập do lũ.,b2IDNL9ySTY.f251
13,99.0,104.0,5.0,68,"Nhiều xã, phường nằm ven sông Trà Câu cũng ngập sâu từ 0,8 đến 1,5m.",b2IDNL9ySTY.f251
14,104.0,109.0,5.0,92,"Quốc lộ 1A đoạn qua các phường Phổ Văn, Phổ Ninh, nước lũ tràn qua khiến giao thông ánh tắt.",b2IDNL9ySTY.f251
15,109.0,112.0,3.0,65,"Chính quyền địa phương đang huy động lực lượng tập trung ứng phó,",b2IDNL9ySTY.f251
16,112.0,117.0,5.0,76,không để bất kỳ người dân nào còn ở lại vùng nguy hiểm khi nước lũ sâng cao.,b2IDNL9ySTY.f251
17,117.0,121.0,4.0,87,"Và ngay trong sáng nay, lực lượng chức năng đã huy động ghe, xuồng để tiếp cận nhà dân,",b2IDNL9ySTY.f251
18,121.0,124.0,3.0,36,"hỗ trợ việc di rời, dọn dạt nhà cửa.",b2IDNL9ySTY.f251
19,124.0,129.0,5.0,78,"Ưu tiên trước là di rời người già, trẻ em và phụ nữ mang thai đến nơi an toàn.",b2IDNL9ySTY.f251
20,132.0,135.0,3.0,45,"Khi mực đức sông Trà Câu lên trên báo đoạn 3,",b2IDNL9ySTY.f251
21,135.0,139.0,4.0,79,chính quyền địa phương đã chỉ đạo cho các lực lượng xung kích của các xã phường,b2IDNL9ySTY.f251
22,139.0,144.0,5.0,65,"cùng lực lượng công an quân đội hỗ trợ cho người dân ghe dọn dạt,",b2IDNL9ySTY.f251
23,144.0,150.0,6.0,74,"và di rời ưu tiên là di rời các người già, trẻ nhỏ lên vùng an toàn trước.",b2IDNL9ySTY.f251
