video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
QQ9vRlBdfJY,0,0.0,5.0,5.0,"Bây giờ là 18h, Việt Nam hôm nay sẽ tiếp tục với những tin tức thời sự cập nhật.","Bây giờ là 18h, hôm nay Việt Nam sẽ tiếp tục với những tin tức thời sự cập nhật, trong đó Ban chỉ đạo cứu nạn tại Thủy điện Rao Chang Ba đã huy động tổng lực để tìm kiếm các nạn nhân, với hàng trăm cán bộ chiến sĩ và các lực lượng khác cùng nhiều loại máy móc công suất lớn, nhưng đến 17h vẫn chưa tìm thấy thi thể nào, chỉ phát hiện một số hiện vật như áo, quần, chăn, gối, trụ nhà, tường nhà và kèo nhà, trong khi dự báo thời tiết những ngày tới có thể có mưa rất to, gây khó khăn và nguy hiểm cho công tác tìm kiếm.","Bây giờ là 18h, Việt Nam hôm nay sẽ tiếp tục với những tin tức thời sự cập nhật.",REVERT,LOW
QQ9vRlBdfJY,1,5.0,9.0,4.0,"Dự báo thời tiết những ngày tới có thể mưa rất to nên ngày hôm nay,","Dự báo thời tiết những ngày tới có thể có mưa rất to, vì vậy hôm nay, Ban chỉ đạo cứu nạn tại Thủy điện Rao Chang Ba đã huy động tổng lực lực lượng và phương tiện để tìm kiếm các nạn nhân.","Dự báo thời tiết những ngày tới có thể mưa rất to nên ngày hôm nay,",REVERT,LOW
QQ9vRlBdfJY,2,9.0,13.0,4.0,"Ban chỉ đạo cứu nạn tại Thủy điện Rao Chang Ba đã huy động tổng lực,","Ban chỉ đạo cứu nạn tại Thủy điện Rao Chang Ba đã huy động tổng lực lực lượng và phương tiện để tìm kiếm các nạn nhân, trong bối cảnh dự báo thời tiết những ngày tới có thể có mưa rất to.","Ban chỉ đạo cứu nạn tại Thủy điện Rao Chang Ba đã huy động tổng lực,",REVERT,LOW
QQ9vRlBdfJY,3,13.0,16.0,3.0,lực lượng và phương tiện để tìm kiếm các nạn nhân.,"Ban chỉ đạo cứu nạn tại Thủy điện Rao Chang Ba đã huy động tổng lực, lực lượng và phương tiện để tìm kiếm các nạn nhân.",lực lượng và phương tiện để tìm kiếm các nạn nhân.,REVERT,HIGH
QQ9vRlBdfJY,4,16.0,21.0,5.0,Hàng trăm cán bộ chiến sĩ và các lực lượng khác cùng với các loại máy co giới công suất lớn,"Hàng trăm cán bộ, chiến sĩ và các lực lượng khác cùng với các loại máy móc công suất lớn đang tìm kiếm nạn nhân tại nhiều hướng và khu vực khác nhau.",Hàng trăm cán bộ chiến sĩ và các lực lượng khác cùng với các loại máy co giới công suất lớn,REVERT,LOW
QQ9vRlBdfJY,5,21.0,23.0,2.0,"tìm kiếm nhiều hướng, nhiều khu vực.",Hàng trăm cán bộ chiến sĩ và các lực lượng khác cùng với các loại máy móc công suất lớn đã được huy động để tìm kiếm các nạn nhân ở nhiều hướng và khu vực khác nhau.,"tìm kiếm nhiều hướng, nhiều khu vực.",REVERT,LOW
QQ9vRlBdfJY,6,23.0,27.0,4.0,Đến 17h ngày hôm nay vẫn chưa có thêm thi thể nạn nhân nào được tìm thấy.,"Đến 17h hôm nay, vẫn chưa có thêm thi thể nạn nhân nào được tìm thấy.","Đến 17h hôm nay, vẫn chưa có thêm thi thể nạn nhân nào được tìm thấy.",OK,HIGH
QQ9vRlBdfJY,7,27.0,31.0,4.0,"Tuy nhiên trong quá trình tìm kiếm đã phát hiện được một số hiện vật như áo,","Trong quá trình tìm kiếm, lực lượng cứu hộ đã phát hiện một số hiện vật như áo, quần, chăn, gối, trụ nhà, tường nhà và kèo nhà.","Tuy nhiên trong quá trình tìm kiếm đã phát hiện được một số hiện vật như áo,",REVERT,LOW
QQ9vRlBdfJY,8,31.0,35.0,4.0,"quần, chăn, gối, trụ nhà, tường nhà, kèo nhà.","Trong quá trình tìm kiếm các nạn nhân tại Thủy điện Rao Chang Ba, lực lượng cứu hộ đã phát hiện một số hiện vật như áo, quần, chăn, gối, trụ nhà, tường nhà và kèo nhà.","quần, chăn, gối, trụ nhà, tường nhà, kèo nhà.",REVERT,LOW
QQ9vRlBdfJY,9,35.0,40.0,5.0,"Trong những ngày tới, lực lượng cứu hộ sẽ phải tận dụng từng giây, từng phút chạy đùa với thời tiết.","Trong những ngày tới, lực lượng cứu hộ sẽ phải tận dụng từng giây, từng phút để đối phó với thời tiết.","Trong những ngày tới, lực lượng cứu hộ sẽ phải tận dụng từng giây, từng phút để đối phó với thời tiết.",OK,HIGH
QQ9vRlBdfJY,10,40.0,43.0,3.0,Nếu mưa xuống không chỉ gây khó khăn cho việc tìm kiếm,"Nếu mưa xuống, không chỉ gây khó khăn cho việc tìm kiếm mà còn đe dọa đến sự an toàn của các lực lượng đang thực hiện nhiệm vụ.",Nếu mưa xuống không chỉ gây khó khăn cho việc tìm kiếm,REVERT,LOW
QQ9vRlBdfJY,11,43.0,46.0,3.0,mà còn gây nguy hiểm cho các lực lượng đang làm nhiệm vụ.,"Nếu mưa xuống, không chỉ gây khó khăn cho việc tìm kiếm mà còn đe dọa đến sự an toàn của các lực lượng đang thực hiện nhiệm vụ.",mà còn gây nguy hiểm cho các lực lượng đang làm nhiệm vụ.,REVERT,HIGH
QQ9vRlBdfJY,12,57.0,60.0,3.0,Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,Hãy đăng ký kênh Ghiền Mì Gõ để không bỏ lỡ những video hấp dẫn.,Hãy đăng ký kênh Ghiền Mì Gõ để không bỏ lỡ những video hấp dẫn.,OK,LOW
