video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
QC5nRKyWI7k,0,0.0,14.0,14.0,"Những cơn mưa lớn kéo dài 2 ngày giữa tuần qua tại các nước Đức, Bỉ, Hà Lan và Luxembourg đã làm cho nhiều dòng sông tràn bờ gây lụt lội ở trên diện rộng.","Những cơn mưa lớn kéo dài 2 ngày giữa tuần qua tại các nước Đức, Bỉ, Hà Lan và Luxembourg đã làm cho nhiều dòng sông tràn bờ gây lụt lội ở trên diện rộng.","Những cơn mưa lớn kéo dài 2 ngày giữa tuần qua tại các nước Đức, Bỉ, Hà Lan và Luxembourg đã làm cho nhiều dòng sông tràn bờ gây lụt lội ở trên diện rộng.",OK,HIGH
QC5nRKyWI7k,1,14.0,20.0,6.0,Và thống kê cho đến trưa nay thì có 153 người chết và hơn 1.000 người mất tích.,Và thống kê cho đến trưa nay thì có 153 người chết và hơn 1.000 người mất tích.,Và thống kê cho đến trưa nay thì có 153 người chết và hơn 1.000 người mất tích.,OK,HIGH
QC5nRKyWI7k,2,20.0,22.0,2.0,Nước Đức chịu thể thại nặng nề nhất.,Nước Đức chịu thể thại nặng nề nhất.,Nước Đức chịu thể thại nặng nề nhất.,OK,HIGH
QC5nRKyWI7k,3,22.0,28.0,6.0,Và chúng tôi đang kết nối trực tiếp với phóng viên Lê Hồng Quang là phóng viên thường trúi truyền hình Việt Nam tại Vương quốc Bỉ.,Và chúng tôi đang kết nối trực tiếp với phóng viên Lê Hồng Quang là phóng viên thường trúi truyền hình Việt Nam tại Vương quốc Bỉ.,Và chúng tôi đang kết nối trực tiếp với phóng viên Lê Hồng Quang là phóng viên thường trúi truyền hình Việt Nam tại Vương quốc Bỉ.,OK,HIGH
QC5nRKyWI7k,4,28.0,32.0,4.0,Xin chào anh Hồng Quang. Tình hình tại Bỉ hiện nay ra sao ạ?,Xin chào anh Hồng Quang. Tình hình tại Bỉ hiện nay ra sao ạ?,Xin chào anh Hồng Quang. Tình hình tại Bỉ hiện nay ra sao ạ?,OK,HIGH
QC5nRKyWI7k,5,58.0,84.0,26.0,Vâng vậy còn tình hình tại các nước lân cận với cả Vương quốc Bỉ thì sao ạ?,Vâng vậy còn tình hình tại các nước lân cận với cả Vương quốc Bỉ thì sao ạ?,Vâng vậy còn tình hình tại các nước lân cận với cả Vương quốc Bỉ thì sao ạ?,OK,HIGH
QC5nRKyWI7k,6,89.0,92.0,3.0,Cái đợt mưa lũ 3 ngày vừa rồi gây cái thiệt hại lớn nhất là ở Đức.,Cái đợt mưa lũ 3 ngày vừa rồi gây cái thiệt hại lớn nhất là ở Đức.,Cái đợt mưa lũ 3 ngày vừa rồi gây cái thiệt hại lớn nhất là ở Đức.,OK,HIGH
QC5nRKyWI7k,7,92.0,98.0,6.0,Trong tổng số 153 người thiệt mạng lúc này thì là có tới 133 là tại Đức.,Trong tổng số 153 người thiệt mạng lúc này thì là có tới 133 là tại Đức.,Trong tổng số 153 người thiệt mạng lúc này thì là có tới 133 là tại Đức.,OK,HIGH
QC5nRKyWI7k,8,98.0,100.0,2.0,Thế ngoài ra còn có hơn 600 người Đức đã bị thương.,Thế ngoài ra còn có hơn 600 người Đức đã bị thương.,Thế ngoài ra còn có hơn 600 người Đức đã bị thương.,OK,HIGH
QC5nRKyWI7k,9,100.0,106.0,6.0,Vào thời điểm tối hôm qua thì ước tính là còn khoảng 40 cho đến 60 người Đức bị mất tích.,Vào thời điểm tối hôm qua thì ước tính là còn khoảng 40 cho đến 60 người Đức bị mất tích.,Vào thời điểm tối hôm qua thì ước tính là còn khoảng 40 cho đến 60 người Đức bị mất tích.,OK,HIGH
QC5nRKyWI7k,10,106.0,109.0,3.0,Thiệt hại ở Đức rất là lớn do là có sút lở đất.,Thiệt hại ở Đức rất là lớn do là có sút lở đất.,Thiệt hại ở Đức rất là lớn do là có sút lở đất.,OK,HIGH
QC5nRKyWI7k,11,109.0,115.0,6.0,Hiện nay thì còn rất là nhiều cung đường bị chặn bởi vì là nước ngập hoặc là không đủ an toàn người ta không cho qua được.,Hiện nay thì còn rất là nhiều cung đường bị chặn bởi vì là nước ngập hoặc là không đủ an toàn người ta không cho qua được.,Hiện nay thì còn rất là nhiều cung đường bị chặn bởi vì là nước ngập hoặc là không đủ an toàn người ta không cho qua được.,OK,HIGH
QC5nRKyWI7k,12,116.0,121.0,5.0,Nước Đức thì đã điều động quân đội tới trợ giúp lực lượng cứu hộ ở những thành phố làng mạc đã bị ngập nước.,Nước Đức thì đã điều động quân đội tới trợ giúp lực lượng cứu hộ ở những thành phố làng mạc đã bị ngập nước.,Nước Đức thì đã điều động quân đội tới trợ giúp lực lượng cứu hộ ở những thành phố làng mạc đã bị ngập nước.,OK,HIGH
QC5nRKyWI7k,13,121.0,126.0,5.0,"Rồi họ tập trung tìm kiếm nạn nhân, dọn dẹp cây cối ngã đổ hay là xe cộ bị nước cuốn.","Rồi họ tập trung tìm kiếm nạn nhân, dọn dẹp cây cối ngã đổ hay là xe cộ bị nước cuốn.","Rồi họ tập trung tìm kiếm nạn nhân, dọn dẹp cây cối ngã đổ hay là xe cộ bị nước cuốn.",OK,HIGH
QC5nRKyWI7k,14,127.0,129.0,2.0,Mực nước xung quanh vẫn rất là cao.,Mực nước xung quanh vẫn rất là cao.,Mực nước xung quanh vẫn rất là cao.,OK,HIGH
QC5nRKyWI7k,15,129.0,133.0,4.0,Đêm hôm qua có 700 người Đức đã phải sơ tán do nguy cơ vỡ đập nước.,Đêm hôm qua có 700 người Đức đã phải sơ tán do nguy cơ vỡ đập nước.,Đêm hôm qua có 700 người Đức đã phải sơ tán do nguy cơ vỡ đập nước.,OK,HIGH
QC5nRKyWI7k,16,136.0,137.0,1.0,Xin cảm ơn anh Lê Hùng Quang.,Xin cảm ơn anh Lê Hùng Quang.,Xin cảm ơn anh Lê Hùng Quang.,OK,HIGH
QC5nRKyWI7k,17,138.0,143.0,5.0,"Thưa quý vị, lũ lụt ven biển đang trở thành một vấn đề cấp bách hơn nhiều so với các dự báo trước đây.","Thưa quý vị, lũ lụt ven biển đang trở thành một vấn đề cấp bách hơn nhiều so với các dự báo trước đây.","Thưa quý vị, lũ lụt ven biển đang trở thành một vấn đề cấp bách hơn nhiều so với các dự báo trước đây.",OK,HIGH
QC5nRKyWI7k,18,143.0,149.0,6.0,Đây là cảnh báo được Cơ quan Hàng không Vũ trụ Mỹ NASA đưa ra dựa trên nghiên cứu mới đây của tổ chức này.,Đây là cảnh báo được Cơ quan Hàng không Vũ trụ Mỹ NASA đưa ra dựa trên nghiên cứu mới đây của tổ chức này.,Đây là cảnh báo được Cơ quan Hàng không Vũ trụ Mỹ NASA đưa ra dựa trên nghiên cứu mới đây của tổ chức này.,OK,HIGH
QC5nRKyWI7k,19,149.0,156.0,7.0,Các nhà khoa học NASA dự báo là các thành phố dọc ven biển sẽ gánh chịu các đợt lũ lụt tồi tệ thường xuyên hơn,Các nhà khoa học NASA dự báo là các thành phố dọc ven biển sẽ gánh chịu các đợt lũ lụt tồi tệ thường xuyên hơn,Các nhà khoa học NASA dự báo là các thành phố dọc ven biển sẽ gánh chịu các đợt lũ lụt tồi tệ thường xuyên hơn,OK,HIGH
QC5nRKyWI7k,20,156.0,161.0,5.0,"và xảy ra ngay trong thập kỷ tới, sớm hơn khoảng 70 năm so với các dự báo trước đó.","và xảy ra ngay trong thập kỷ tới, sớm hơn khoảng 70 năm so với các dự báo trước đó.","và xảy ra ngay trong thập kỷ tới, sớm hơn khoảng 70 năm so với các dự báo trước đó.",OK,HIGH
QC5nRKyWI7k,21,161.0,166.0,5.0,"Thay vì gánh chịu 2 hoặc 3 trận lũ lụt mỗi tháng trong mùa mưa lũ như hiện nay,","Thay vì gánh chịu 2 hoặc 3 trận lũ lụt mỗi tháng trong mùa mưa lũ như hiện nay,","Thay vì gánh chịu 2 hoặc 3 trận lũ lụt mỗi tháng trong mùa mưa lũ như hiện nay,",OK,HIGH
QC5nRKyWI7k,22,166.0,171.0,5.0,thì các khu vực ven biển có thể là phải đối mặt với hàng chục trận lũ lụt trở lên.,thì các khu vực ven biển có thể là phải đối mặt với hàng chục trận lũ lụt trở lên.,thì các khu vực ven biển có thể là phải đối mặt với hàng chục trận lũ lụt trở lên.,OK,HIGH
QC5nRKyWI7k,23,171.0,175.0,4.0,Điều này sẽ gây gián đoạn lớn đến cuộc sống và sinh kế của người dân,Điều này sẽ gây gián đoạn lớn đến cuộc sống và sinh kế của người dân,Điều này sẽ gây gián đoạn lớn đến cuộc sống và sinh kế của người dân,OK,HIGH
QC5nRKyWI7k,24,175.0,180.0,5.0,nếu các cộng đồng không bắt đầu lập kế hoạch đối phó với chúng ngay từ bây giờ.,nếu các cộng đồng không bắt đầu lập kế hoạch đối phó với chúng ngay từ bây giờ.,nếu các cộng đồng không bắt đầu lập kế hoạch đối phó với chúng ngay từ bây giờ.,OK,HIGH
QC5nRKyWI7k,25,180.0,185.0,5.0,Đáng lo ngại là các quốc gia nhiệt đới sẽ dễ bị ảnh hưởng do ngập lụt ven biển hơn.,Đáng lo ngại là các quốc gia nhiệt đới sẽ dễ bị ảnh hưởng do ngập lụt ven biển hơn.,Đáng lo ngại là các quốc gia nhiệt đới sẽ dễ bị ảnh hưởng do ngập lụt ven biển hơn.,OK,HIGH
QC5nRKyWI7k,26,185.0,189.0,4.0,Mà một phần 3 trong số này là nằm ở khu vực châu Á.,Mà một phần 3 trong số này là nằm ở khu vực châu Á.,Mà một phần 3 trong số này là nằm ở khu vực châu Á.,OK,HIGH
