id,start,end,duration,text_len,text,video_id
0,0.0,4.0,4.0,97,"Thưa chị Hương Liên, theo quan sát của cá nhân tôi, ngày hôm nay trời Hà Nội đã có nhiều mây hơn.",xVx8gh5urlc
1,4.0,6.0,2.0,47,"Tuy nhiên, cái cảm giác oi nóng vẫn giữ nguyên.",xVx8gh5urlc
2,6.0,8.5,2.5,75,Không biết là tiến trình nhiệt ngày hôm nay diễn biến như thế nào thưa chị?,xVx8gh5urlc
3,9.0,12.5,3.5,79,"Vâng anh Dương, ngày hôm nay nhiệt độ ở Hà Nội vẫn cao tương đương như hôm qua.",xVx8gh5urlc
4,13.0,17.0,4.0,76,"Thế nhưng, mây nhiều lên là dấu hiệu cho thấy hình thế gây mưa đã xuất hiện.",xVx8gh5urlc
5,17.0,19.0,2.0,29,Đó chính là rãnh áp thấp này.,xVx8gh5urlc
6,19.0,23.0,4.0,80,Với vị trí nằm phần lớn trên đất liền Trung Quốc thì diễn mưa đêm nay chưa rộng.,xVx8gh5urlc
7,23.0,31.0,8.0,123,"Theo dự báo thì chỉ có những tỉnh nằm gần rãnh áp thấp như là Hà Giang, Cao Bằng, Lạng Sơn, Tuyên Quang, Bắc Cạn là có mưa.",xVx8gh5urlc
8,31.0,33.0,2.0,28,Lượng mưa chủ yếu dưới 25mm.,xVx8gh5urlc
9,33.0,37.0,4.0,30,Một vài nơi là từ 25 đến 50mm.,xVx8gh5urlc
10,37.0,41.0,4.0,76,Với lượng mưa như thế này thì đêm nay sẽ chưa có khả năng về lũ quét sạt lở.,xVx8gh5urlc
11,41.0,45.0,4.0,72,"Hiện tượng cần đề phòng nhất trong đêm nay đó là lốc xét, gió giật mạnh.",xVx8gh5urlc
12,45.0,49.0,4.0,53,Do có mưa nên ngày mai các tỉnh này sẽ hết nắng nóng.,xVx8gh5urlc
13,49.0,53.0,4.0,33,Nhiệt độ chỉ còn là 33 đến 34 độ.,xVx8gh5urlc
14,53.0,56.0,3.0,59,Các tỉnh thành còn lại ở miền Bắc bao gồm cả thủ đô Hà Nội.,xVx8gh5urlc
15,56.0,60.0,4.0,68,Dù chưa có mưa nhưng cái nóng ngày mai cũng đỡ bỏng rắt hơn hôm nay.,xVx8gh5urlc
16,60.0,63.0,3.0,42,Nhiệt độ cao nhất giảm xuống 35 đến 38 độ.,xVx8gh5urlc
17,63.0,67.0,4.0,66,Trong khi đó tại miền Trung dự báo ngày mai nền nhiệt vẫn khá cao.,xVx8gh5urlc
18,67.0,73.0,6.0,69,Phổ biến ở khu vực từ Thanh Hóa xuống đến Phú Yên sẽ là 37 đến 40 độ.,xVx8gh5urlc
19,73.0,75.0,2.0,24,Các nơi khác dưới 37 độ.,xVx8gh5urlc
20,75.0,78.0,3.0,43,Phải từ ngày kia thì vùng nóng mới thu hẹp.,xVx8gh5urlc
21,78.0,82.0,4.0,82,Cuối cùng sẽ là phần dự báo thời tiết cho các thành phố trong đêm nay và ngày mai.,xVx8gh5urlc
22,82.0,85.0,3.0,38,Thủ đô Hà Nội đêm nay không mưa 31 độ.,xVx8gh5urlc
23,85.0,87.0,2.0,30,Ngày mai trời nắng nóng 37 độ.,xVx8gh5urlc
24,87.0,89.0,2.0,30,Chiều tối mai có thể mưa rông.,xVx8gh5urlc
25,89.0,92.0,3.0,42,Thành phố Đà Nẵng đêm nay tạnh giáo 28 độ.,xVx8gh5urlc
26,92.0,95.0,3.0,50,Ngày mai duy trì nắng nóng đặc biệt gai gắt 39 độ.,xVx8gh5urlc
27,95.0,99.0,4.0,57,Thành phố Hồ Chí Minh đêm nay trời mát mưa vài nơi 26 độ.,xVx8gh5urlc
28,99.0,101.0,2.0,33,Chưa chiều mai diễn mưa rộng hơn.,xVx8gh5urlc
29,101.0,103.0,2.0,21,Có nơi mưa lượng khá.,xVx8gh5urlc
30,103.0,105.0,2.0,32,"Cảnh báo lốc xét, gió giật mạnh.",xVx8gh5urlc
31,108.0,113.0,5.0,69,Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,xVx8gh5urlc
