id,start,end,duration,text_len,text,video_id
0,0.0,8.0,8.0,141,Việt Nam hôm nay sẽ tiếp tục thông tin về những thiệt hại do cơn bão số 9 gây ra và ngay bây giờ chúng tôi sẽ kết nối với phóng viên Tùng Thư,RRapsYAaYd8.f251
1,8.0,12.0,4.0,76,đang đi cùng đoàn công tác của Ban chỉ đạo tiền phương ứng phó với bão số 9.,RRapsYAaYd8.f251
2,12.0,18.0,6.0,125,"Vâng chị Tùng Thư, chị có thể cung cấp những số liệu mới nhất về thiệt hại do bão số 9 gây ra đến thời điểm này được không ạ?",RRapsYAaYd8.f251
3,18.0,24.0,6.0,95,"Xin chào quý vị khán giả, tôi đang có mặt tại xã Bình Minh, huyện Thăng Bình của tỉnh Quảng Nam",RRapsYAaYd8.f251
4,24.0,30.0,6.0,96,cùng với đoàn công tác Ban chỉ đạo tiền phương do Phó Thủ tướng Trình Bình Dũng làm trưởng đoàn.,RRapsYAaYd8.f251
5,30.0,38.0,8.0,131,Hiện thì Phó Thủ tướng Trình Bình Dũng đang có cuộc làm việc tại đây và thăm hỏi người dân cạnh địa phương xã ven biển như thế này.,RRapsYAaYd8.f251
6,38.0,45.0,7.0,114,Với những số liệu mới nhất mà chúng tôi cập nhật được thì hiện tại là đã có 2 người thiệt hại do cơn bão số 9 này.,RRapsYAaYd8.f251
7,45.0,52.0,7.0,102,Một người ở Gia Lai là do chú mưa ở lá Vị Sập và còn một người khác là do ở Quảng Nam là do Vị Sạc Lở.,RRapsYAaYd8.f251
8,53.0,57.0,4.0,80,Về vấn đề nhà sập thì đến thời điểm lúc này thì cũng chưa thể tống cây hết được.,RRapsYAaYd8.f251
9,57.0,66.0,9.0,127,Tuy nhiên thì cũng có số liệu ban đầu thì là Quảng Ngãi đang là địa phương mà có nhiều nhà sập nhất với hơn 53.000 nhà tốc mái.,RRapsYAaYd8.f251
10,66.0,75.0,9.0,100,"Ngoài ra thì Bình Bịnh là 2.500 nhà, Phú Yên khoảng 44 nhà, Gia Lai là 109 nhà và Con Tôm là 32 nhà.",RRapsYAaYd8.f251
11,75.0,79.0,4.0,81,Ngoài ra thì cũng có một số trụ sở cơ quan bị tốc mái hư hỏng tại tỉnh Quảng Ngãi,RRapsYAaYd8.f251
12,79.0,84.0,5.0,81,"và 35 điểm trường học bị tốc mái hư hỏng tại tỉnh Quảng Ngãi, Gia Lai và Con Tôm.",RRapsYAaYd8.f251
13,84.0,91.0,7.0,88,Về giao thông thì có một cầu trao ở hiện Con Rẫy tỉ cuốn trôi đã thia cắt 115 hộ tại đây,RRapsYAaYd8.f251
14,91.0,99.0,8.0,71,và sạt lở ghé các giao thông tại 14 điểm trên địa bàn của tỉnh Con Tôm.,RRapsYAaYd8.f251
15,100.0,106.0,6.0,107,Về sự cố ứng phó tàu thuyền thì cho đến lúc này thì 2 tàu của Bình Bịnh bị chìm trên biển ngày 27 tháng 10.,RRapsYAaYd8.f251
16,106.0,112.0,6.0,108,Hiện tại thì đang thống nhất phương án là sẽ điều 2 tàu hải quân và 2 tàu kiểm lưu từ Cam Ranh để ra cứu hộ.,RRapsYAaYd8.f251
17,114.0,117.0,3.0,66,"Đến thời điểm này thì bão đã di chuyển đến biên giới Việt Lào rồi,",RRapsYAaYd8.f251
18,117.0,120.0,3.0,63,tức là ra khỏi Việt Nam và đang suy ứu thành áp thấp nhiệt đới.,RRapsYAaYd8.f251
19,120.0,124.0,4.0,79,Nhưng mà chắc chắn là còn rất nhiều vấn đề cần phải lưu ý sau bão đúng không ạ?,RRapsYAaYd8.f251
20,124.0,128.0,4.0,97,Vậy những lưu ý mà ban chỉ đạo tiền phương khuyến cáo đến bà con và các địa phương là gì vậy chị?,RRapsYAaYd8.f251
21,129.0,133.0,4.0,87,Cho đến lúc này thì có một số những công việc mà vẫn cần phải triển khai tiếp tục đó là,RRapsYAaYd8.f251
22,133.0,139.0,6.0,133,chúng ta phải tổng hợp tiền thại và triển khai các phục vụ quả đặc biệt là đối với tỉnh Quảng Ngãi là tâm bão của các bãi tổ chí này.,RRapsYAaYd8.f251
23,139.0,143.0,4.0,104,Ngoài ra cũng cần phải triển khai các lực lượng tìm kiếm cứu nạn thuyền viên trên 2 tàu cá của Bình Định,RRapsYAaYd8.f251
24,143.0,146.0,3.0,42,sẵn sàng cứu hộ và cứu nạn khi có yêu cầu.,RRapsYAaYd8.f251
25,146.0,152.0,6.0,109,Vẫn tiếp tục phải kiểm soát đảm bảo an toàn giao thông cho đến khi mà gió mạnh không còn ở trên đất điển nữa.,RRapsYAaYd8.f251
26,153.0,160.0,7.0,130,Vấn đề dẫn hành vù chứa phù hợp thì giảm lũi cho hạ du và đảm bảo an toàn công trình đặc biệt là trên hệ thống sông Vua Da Su Bồn.,RRapsYAaYd8.f251
27,160.0,166.0,6.0,122,Những công tác chỉ đạo ứng phóng mưa lũ ở khu vực Trũng Thất và khu vực Tây Nguyên cũng cần phải tiếp tục được triển khai.,RRapsYAaYd8.f251
28,166.0,168.0,2.0,56,"Vâng, xin cảm ơn những thông tin từ phóng viên Tùng Thư.",RRapsYAaYd8.f251
29,169.0,176.0,7.0,109,"Thưa quý vị, Ủy ban Quốc gia ứng phó sự cố thiên tai và tìm kiếm cứu nạn cho biết đã điều động 3 tàu kiểm ngư",RRapsYAaYd8.f251
30,176.0,181.0,5.0,86,Cam Ranh Khánh Hòa lên đường tìm kiếm 26 ngư dân tỉnh Bình Định bị mất tích trên biển.,RRapsYAaYd8.f251
31,181.0,183.0,2.0,45,Phóng viên Vĩnh Lộc thông tin từ hiện trường.,RRapsYAaYd8.f251
32,189.0,196.0,7.0,94,"Thưa quý vị, thiệt hại lớn nhất về tính mạng trên địa bàn thị xã Hòa Nhân đó là 26 thuyền viên",RRapsYAaYd8.f251
33,196.0,201.0,5.0,58,ở trên 2 tàu cá đã mất tích trên đường đi vào tìm trú bạo.,RRapsYAaYd8.f251
34,201.0,207.0,6.0,112,Và hiện nay thì 26 thuyền viên này vẫn chưa liên lạc được và các nạn nhân này cũng đã được xác định là mất tích.,RRapsYAaYd8.f251
35,207.0,214.0,7.0,135,Bên cạnh đó thì 1 cái tàu khác cũng gặp nạn cùng 2 tàu cá này đã được chính quyền địa phương và các cơ quan chức năng đã liên lạc được.,RRapsYAaYd8.f251
36,214.0,218.0,4.0,93,"Để xác minh cái thông tin này thì chúng tôi có liên lạc và phỏng vấn với ông Nguyễn Trí Công,",RRapsYAaYd8.f251
37,218.0,222.0,4.0,61,"Phó Chủ tịch Ủy ban Nhân dân thị xã Hòa Nhân, tỉnh Bình Định.",RRapsYAaYd8.f251
38,223.0,229.0,6.0,69,"Tức là đối với 2 cái tàu cá, 1 là cái tàu của ông Lê Vạn ở Hòa Thanh,",RRapsYAaYd8.f251
39,229.0,233.0,4.0,65,"trên tàu là có 14 thuyền viên và 1 là cái tàu của ông Võ Ngọc Đô,",RRapsYAaYd8.f251
40,233.0,235.0,2.0,17,là quê ở Hòa Hải.,RRapsYAaYd8.f251
41,235.0,243.0,8.0,86,Tức là trên đường đi thì 2 cái tàu này là bị chết máy và chiều ngày 27 cho tới ngày 28,RRapsYAaYd8.f251
42,243.0,247.0,4.0,51,thì 2 chiếc tàu này là không còn liên lạc được nữa.,RRapsYAaYd8.f251
43,247.0,251.0,4.0,54,"Trong khi đó thì còn 1 cái tàu của ông Tòn ở Bồng Sơn,",RRapsYAaYd8.f251
44,251.0,255.0,4.0,70,thì cũng là bà con với cái tàu của ông Lê Vạn thì cũng đi như thế này.,RRapsYAaYd8.f251
45,255.0,257.0,2.0,40,"Nhưng mà tàu ông này thì không chết máy,",RRapsYAaYd8.f251
46,257.0,262.0,5.0,63,thì ông này vẫn tránh ra cơn bão nhưng mà ông ấy di chuyển chậm,RRapsYAaYd8.f251
47,262.0,267.0,5.0,56,và sau đó thì ông sẽ quay lại để tìm kiếm 2 con tàu này.,RRapsYAaYd8.f251
48,267.0,273.0,6.0,75,"Hiện giờ thì tàu ông trên tàu vẫn còn 14 thuyền viên, vẫn còn liên lạc được",RRapsYAaYd8.f251
49,274.0,277.0,3.0,45,và ông này còn đây chờ thì khoảng 20h tối nay,RRapsYAaYd8.f251
50,277.0,284.0,7.0,86,thì Hải quân người ta sẽ tiếp hắn được cái tàu này để rồi cứu 14 thuyền viên trên tàu.,RRapsYAaYd8.f251
51,284.0,290.0,6.0,72,"Hiện giờ thì tôi đã xin được cái số bành vô tuyến của Chế Cục Tươi Sáng,",RRapsYAaYd8.f251
52,290.0,294.0,4.0,45,"tôi sẽ xin liên lạc, nếu được thì tôi sẽ gặp.",RRapsYAaYd8.f251
53,294.0,296.0,2.0,32,"Alo, phải cái tàu an toàn không?",RRapsYAaYd8.f251
54,297.0,299.0,2.0,35,"Rồi, đúng rồi, chuyện của ai vậy ạ?",RRapsYAaYd8.f251
55,299.0,304.0,5.0,79,"Tôi là Nguyễn Trí Kông, Phó Chủ tịch Ủy ban Giang Thị xã Hội Nhân, anh Toàn ơi.",RRapsYAaYd8.f251
56,305.0,306.0,1.0,14,"Rồi, dạ dạ dạ.",RRapsYAaYd8.f251
57,306.0,310.0,4.0,61,Bây giờ là cái tàu mình vẫn còn ở cái vị trí đó chứ anh Toàn.,RRapsYAaYd8.f251
58,310.0,312.0,2.0,24,"Rồi, còn ở vị trí không?",RRapsYAaYd8.f251
59,312.0,318.0,6.0,62,Và 8h tối nay là tàu Hải quân là anh đã liên lạc được rồi chứ.,RRapsYAaYd8.f251
60,318.0,321.0,3.0,28,"Dạ dạ, 8h liên lạc được chú.",RRapsYAaYd8.f251
61,321.0,326.0,5.0,68,"Rồi, còn lại là 14 thuyền viên trên tàu là cũng bệnh ổn hết chứ anh?",RRapsYAaYd8.f251
62,327.0,331.0,4.0,43,"Dạ, 14 thuyền viên trên này ổn gần hết rồi.",RRapsYAaYd8.f251
63,331.0,332.0,1.0,11,"Rồi, dạ dạ.",RRapsYAaYd8.f251
64,332.0,333.0,1.0,28,"Vâng vâng, xin cảm ơn anh ạ.",RRapsYAaYd8.f251
65,333.0,336.0,3.0,47,"Anh cố gắng giữ gìn sức khỏe ạ, để tối nay 20h,",RRapsYAaYd8.f251
66,336.0,340.0,4.0,77,đội cụ nàng sẽ ra để cùng các anh hợp tác để tìm kiếm những người mất tích ạ.,RRapsYAaYd8.f251
67,340.0,341.0,1.0,7,Cảm ơn.,RRapsYAaYd8.f251
68,344.0,348.0,4.0,77,"Thưa quý vị, Con Tôm là một trong những địa phương mà nằm trong tâm bão số 9.",RRapsYAaYd8.f251
69,348.0,352.0,4.0,68,Nhiều huyện thị trên địa bàn tỉnh đã có thiệt hại do mưa bão gây ra.,RRapsYAaYd8.f251
70,352.0,354.0,2.0,32,Một cây cầu sắt đã bị cuốn trôi.,RRapsYAaYd8.f251
71,354.0,356.0,2.0,46,Nhiều điểm sạt lở chắn ngang đường giao thông.,RRapsYAaYd8.f251
72,356.0,359.0,3.0,61,Ghi nhận tình hình của nhóm phong viên Phúc Trưởng Công Điển.,RRapsYAaYd8.f251
73,361.0,366.0,5.0,95,"Theo thông kê ban đầu, trên địa bàn các huyện của tỉnh Con Tôm như Đắk Tô, Đắk Hà, Công Bờ Long",RRapsYAaYd8.f251
74,366.0,370.0,4.0,72,"đã xuất hiện các thiệt hại của bão số 9 như cây cối bị đổ ngã, ngập ủng.",RRapsYAaYd8.f251
75,370.0,373.0,3.0,56,Nhiều ngôi nhà tại huyện Sa Thầy đã bị gió thổi tóc mái.,RRapsYAaYd8.f251
76,373.0,378.0,5.0,93,"Tại huyện Tu Mơ Rông, đập thủy lợi đắp tràn, mưa lớn đã khiến mức nước trong đập lên cao 10m.",RRapsYAaYd8.f251
77,378.0,381.0,3.0,60,"Tuyến đường tránh đèo văng rơi, xuất hiện nhiều điểm sạt lở.",RRapsYAaYd8.f251
78,383.0,387.0,4.0,51,Là địa bàn có nhiều điểm sạt lở mỗi khi có mưa bão.,RRapsYAaYd8.f251
79,387.0,390.0,3.0,45,"Thì hiện nay, tại cân bão số 9 đang tiến vào,",RRapsYAaYd8.f251
80,390.0,395.0,5.0,94,thì chính quyền huyện Tu Mơ Rông của tỉnh Con Tôm đã tổ chức nhiều đơn vị lực lượng chốt chặn.,RRapsYAaYd8.f251
81,395.0,401.0,6.0,97,"Những đập tràn, những công trình thủy lợi lớn thì mức nước đã được liên tục theo dõi và cảnh báo.",RRapsYAaYd8.f251
82,401.0,405.0,4.0,67,Những hộ dân thì đã được duy dời để đảm bảo an toàn trong bão số 9.,RRapsYAaYd8.f251
83,408.0,411.0,3.0,51,"Ở các điểm công viên cơ sở lở cao thì nước đã tràn,",RRapsYAaYd8.f251
84,411.0,417.0,6.0,97,nước đã tràn qua đường và đã gây ngập úng cho một số diện tích lúa của bà con chưa thu hoạch kịp.,RRapsYAaYd8.f251
85,417.0,420.0,3.0,37,Diện tích ước khoảng trên 10 hectare.,RRapsYAaYd8.f251
86,420.0,426.0,6.0,110,"Hiện nay, chúng tôi đã đến tận hộ gia đình và đã vận động duy dời được 15 hộ dân với khoảng trên 60 nhân khẩu.",RRapsYAaYd8.f251
87,427.0,432.0,5.0,86,"Mưa lớn đã gây nước lũ, làm cuốn trôi một cây cầu sắt tại xã Đắk Bến E, huyện Con Rẫy.",RRapsYAaYd8.f251
88,432.0,437.0,5.0,77,Nước cuốn trôi cầu đã làm chia cắt khoảng 500 hộ dân 2 thôn của xã Đắk Bến E.,RRapsYAaYd8.f251
89,437.0,441.0,4.0,83,Hiện tỉnh Con Tôm đang chỉ đạo các địa phương thống kê thiệt hại do bão số 9 gây ra,RRapsYAaYd8.f251
90,441.0,446.0,5.0,91,"và nhanh chóng triển khai biện pháp khắc phục, đặc biệt tại các vùng người dân bị chia cắt.",RRapsYAaYd8.f251
91,448.0,453.0,5.0,104,Hai trường hợp đăng tải thông tin sai sự thật về tình hình lũ lụt đã bị công an tỉnh Quảng Bình xử phạt.,RRapsYAaYd8.f251
92,453.0,457.0,4.0,61,"Các đối tượng cùng chú tại phường Bắc Lý, thành phố Đồng Hới.",RRapsYAaYd8.f251
