id,start,end,duration,text_len,text,video_id
0,0.0,5.5,5.5,105,Tiếp theo thì biên tập viên thời tiết Thanh Tùng sẽ cập nhật về diễn biến ấm lên ở miền Bắc. Xin mời anh.,Yr7vWnzBirs
1,5.5,7.5,2.0,48,Dạ vâng. Thưa anh Tuấn Dương và quý vị khán giả.,Yr7vWnzBirs
2,7.5,11.5,4.0,86,Ngay từ đầu giờ chiều ngày hôm nay là nhiều nơi của miền Bắc đã xuất hiện nắng ấm rồi.,Yr7vWnzBirs
3,11.5,16.0,4.5,108,Và đây là những hình ảnh ghi lại được tại Hà Nội từ Đài truyền hình Việt Nam vào đầu giờ chiều ngày hôm nay.,Yr7vWnzBirs
4,16.0,20.5,4.5,78,Có thể thấy là trời đã có những khoảng mỏng hẳn mây và nắng cũng đã xuất hiện.,Yr7vWnzBirs
5,20.5,24.0,3.5,86,Và nhiệt độ theo đó thì cũng đã tăng thêm 2 độ so với cùng thời điểm của ngày hôm qua.,Yr7vWnzBirs
6,24.0,29.0,5.0,74,Lên mức là 19 độ và đi ngoài đường là cảm giác cũng không còn bốt giá nữa.,Yr7vWnzBirs
7,29.0,34.5,5.5,95,Dự báo là trong 2 ngày tới thì thủ đô Hà Nội sẽ tiếp tục có nắng với mức nhiệt khoảng là 20 độ.,Yr7vWnzBirs
8,34.5,38.0,3.5,61,Và không khí sẽ ấm lên nhưng mà hơi hanh khô và hơi khó chịu.,Yr7vWnzBirs
9,38.0,41.5,3.5,44,Độ ấm thấp nhất chỉ khoảng là từ 47 đến 48%.,Yr7vWnzBirs
10,41.5,45.5,4.0,76,Phải đến thứ 5 thì tình trạng nắng hanh mới chấm dứt khi mà trời chuyển mưa.,Yr7vWnzBirs
11,45.5,50.0,4.5,91,"Không chỉ Hà Nội, nhiều nơi khác của Bắc Bộ cũng sẽ chung trạng thái nắng khô vào ngày mai.",Yr7vWnzBirs
12,50.0,56.0,6.0,84,Dự báo là độ ấm lúc giữa trưa và đầu giờ chiều thì phần lớn sẽ ở khoảng là dưới 55%.,Yr7vWnzBirs
13,56.0,59.0,3.0,45,Còn về nhiệt độ cao nhất là 17 cho đến 20 độ.,Yr7vWnzBirs
14,60.0,64.5,4.5,130,Còn ngay sau đây chúng tôi xin mời quý vị cập nhật những thông tin dự báo chi tiết cho một số thành phố trong đêm nay và ngày mai.,Yr7vWnzBirs
15,65.0,67.5,2.5,43,Với Đà Nẵng dự báo đôi lúc có mưa nặng hạt.,Yr7vWnzBirs
16,67.5,70.0,2.5,50,Đêm nay trời rét với mức nhiệt thấp nhất là 17 độ.,Yr7vWnzBirs
17,70.0,73.0,3.0,55,Sang ngày mai thì nhiệt độ cao nhất sẽ không quá 21 độ.,Yr7vWnzBirs
18,74.0,78.0,4.0,49,Đà Lạt cũng có mưa rào bất chợt và trời luôn rét.,Yr7vWnzBirs
19,78.0,81.0,3.0,61,Đêm nay nhiệt độ là 13 độ còn sang ngày mai thì khoảng 16 độ.,Yr7vWnzBirs
20,82.0,86.0,4.0,67,Với thành phố Hồ Chí Minh thì đêm nay sáng sớm mai trời lạnh 22 độ.,Yr7vWnzBirs
21,86.0,92.0,6.0,93,"Sau 9 giờ ngày mai nắng xuất hiện, xua tan đi hơi lạnh và nhiệt độ sẽ tăng lên đạt mức 31 độ.",Yr7vWnzBirs
