video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
1-iUEsz_srY,0,0.0,4.0,4.0,"Thưa quý vị, trường học bất ngờ bị ngập sâu hơn 1 mét.","Thưa quý vị, trường học bất ngờ bị ngập sâu hơn 1 mét.","Thưa quý vị, trường học bất ngờ bị ngập sâu hơn 1 mét.",OK,HIGH
1-iUEsz_srY,1,4.0,10.0,6.0,"Hàng trăm học sinh ở trường trung học cơ sở Đông Hà, tỉnh Quang Trị đã được kịp thời đưa về nơi tránh chúa an toàn.","Hàng trăm học sinh ở trường trung học cơ sở Đông Hà, tỉnh Quang Trị đã được kịp thời đưa về nơi tránh chúa an toàn.","Hàng trăm học sinh ở trường trung học cơ sở Đông Hà, tỉnh Quang Trị đã được kịp thời đưa về nơi tránh chúa an toàn.",OK,HIGH
1-iUEsz_srY,2,10.0,15.0,5.0,Sự việc xảy ra vào sáng nay khi các em vừa học hết tiết 1 thì sân trường bị ngập sâu.,Sự việc xảy ra vào sáng nay khi các em vừa học hết tiết 1 thì sân trường bị ngập sâu.,Sự việc xảy ra vào sáng nay khi các em vừa học hết tiết 1 thì sân trường bị ngập sâu.,OK,HIGH
1-iUEsz_srY,3,15.0,18.0,3.0,"Nguyên nhân là do mưa lớn, nước thoát không kịp.","Nguyên nhân là do mưa lớn, nước thoát không kịp.","Nguyên nhân là do mưa lớn, nước thoát không kịp.",OK,HIGH
1-iUEsz_srY,4,18.0,23.0,5.0,"Lực lượng chức năng đã dùng phao, xuồng, căng dây đưa các em ra khỏi khu vực nguy hiểm.","Lực lượng chức năng đã dùng phao, xuồng, căng dây đưa các em ra khỏi khu vực nguy hiểm.","Lực lượng chức năng đã dùng phao, xuồng, căng dây đưa các em ra khỏi khu vực nguy hiểm.",OK,HIGH
1-iUEsz_srY,5,23.0,29.0,6.0,"Ngoài trường nói trên thì nhiều địa bàn của thành phố Đông Hà, tỉnh Quang Trị cũng bị ngập sâu trong sáng nay.","Ngoài trường nói trên thì nhiều địa bàn của thành phố Đông Hà, tỉnh Quang Trị cũng bị ngập sâu trong sáng nay.","Ngoài trường nói trên thì nhiều địa bàn của thành phố Đông Hà, tỉnh Quang Trị cũng bị ngập sâu trong sáng nay.",OK,HIGH
1-iUEsz_srY,6,31.0,39.0,8.0,"Không riêng tại Quang Trị, áp thấp nhiệt đới cũng gây mưa lớn dọc các tỉnh miền Trung, gây ra những thiệt hại ban đầu cả về người và của.","Không riêng tại Quang Trị, áp thấp nhiệt đới cũng gây mưa lớn dọc các tỉnh miền Trung, gây ra những thiệt hại ban đầu cả về người và của.","Không riêng tại Quang Trị, áp thấp nhiệt đới cũng gây mưa lớn dọc các tỉnh miền Trung, gây ra những thiệt hại ban đầu cả về người và của.",OK,HIGH
1-iUEsz_srY,7,41.0,46.0,5.0,"Tại Bình Định, một ngư dân đã tử vong khi rơi xuống biển do bị sóng đánh chìm tàu.","Tại Bình Định, một ngư dân đã tử vong khi rơi xuống biển do bị sóng đánh chìm tàu.","Tại Bình Định, một ngư dân đã tử vong khi rơi xuống biển do bị sóng đánh chìm tàu.",OK,HIGH
1-iUEsz_srY,8,46.0,48.0,2.0,Hai người khác được cứu sống kịp thời.,Hai người khác được cứu sống kịp thời.,Hai người khác được cứu sống kịp thời.,OK,HIGH
1-iUEsz_srY,9,48.0,50.0,2.0,Vụ việc xảy ra ở cửa biển Tam Quan.,Vụ việc xảy ra ở cửa biển Tam Quan.,Vụ việc xảy ra ở cửa biển Tam Quan.,OK,HIGH
