id,start,end,duration,text_len,text,video_id
0,0.0,5.5,5.5,97,Còn tiếp theo sẽ là những thông tin dự báo thời tiết cùng với biên tập viên thời tiết Thanh Tùng.,dSAEpO46gFQ
1,5.5,10.0,4.5,139,"Anh Tùng thân mến, ngày hôm nay tôi tin là người dân miền Bắc đã cảm nhận được bắt đầu những cái ảnh hưởng đầu tiên của không khí lạnh rồi.",dSAEpO46gFQ
2,10.0,13.0,3.0,69,Không biết đợt này thì không khí có giảm sâu về nhiệt độ hay không ạ?,dSAEpO46gFQ
3,13.0,18.0,5.0,128,"Vâng, đến chiều ngày hôm nay thì không khí lạnh đã ảnh hưởng đến hầu khắp cả Bắc Bộ rồi và đã xuống tới cả Thanh Hóa và Nghệ An.",dSAEpO46gFQ
4,18.0,26.0,8.0,139,Và về nhiệt độ thì 13 giờ chiều ngày hôm nay tại những khu vực này thì đều đã giảm từ 4 đến 6 độ so với cùng thời điểm ngày hôm qua thôi ạ.,dSAEpO46gFQ
5,26.0,29.0,3.0,30,Hầu hết là mức nhiệt 16-19 độ.,dSAEpO46gFQ
6,29.0,34.0,5.0,113,"Nhiệt giảm kèm theo gió, đông bắc thổi khá là mạnh thế nên đi đường thì mọi người đều đã cảm thấy khá là rét rồi.",dSAEpO46gFQ
7,34.0,39.0,5.0,74,Dự báo đêm nay miền Bắc sẽ còn rét hơn nữa và nhiệt độ tiếp tục giảm thêm.,dSAEpO46gFQ
8,39.0,48.0,9.0,118,"Thấp nhất ở thủ đô Hà Nội và các thành phố Hải Dương, Ninh Bình, Hạ Long, Lạng Sơn, Lào Cai hay Sơn La là từ 12-16 độ.",dSAEpO46gFQ
9,48.0,55.0,7.0,84,"Thậm chí một số nơi vùng núi cao như Đồng Văn, Sapa hay Mộc Châu thì chỉ từ 7-10 độ.",dSAEpO46gFQ
10,55.0,59.0,4.0,100,Không khí lạnh lần này không mạnh thế nên là thời gian rét ở miền Bắc thì chủ yếu là về đêm và sáng.,dSAEpO46gFQ
11,59.0,65.0,6.0,83,"Còn sang ngày mai thì trời chỉ lạnh, nhiệt độ ở hầu khắp các thành phố là 18-22 độ.",dSAEpO46gFQ
12,66.0,69.0,3.0,69,Ở miền Trung thì đêm nay mưa rét sẽ mở rộng xuống đến Thừa Thiên Huế.,dSAEpO46gFQ
13,69.0,76.0,7.0,86,"Các thành phố Thanh Hóa, Vinh, Hà Tĩnh, Đồng Hới và Huế sẽ có nhiệt độ là từ 16-19 độ.",dSAEpO46gFQ
14,76.0,81.0,5.0,45,Còn ngày mai thì sẽ là từ 19-23 độ trời lạnh.,dSAEpO46gFQ
15,82.0,85.0,3.0,91,Ngay sau đây chúng tôi xin được cập nhật những thông tin dự báo chi tiết cho các thành phố.,dSAEpO46gFQ
16,86.0,89.0,3.0,60,Hải Phòng đêm nay không mưa trời rét với mức nhiệt là 15 độ.,dSAEpO46gFQ
17,89.0,93.0,4.0,60,Ngày mai nhiều mây vẫn rét cả ngày nhiệt độ không quá 20 độ.,dSAEpO46gFQ
18,95.0,98.0,3.0,55,Đà Nẵng đêm và sáng sớm có mưa rào nhẹ trời lạnh 20 độ.,dSAEpO46gFQ
19,98.0,100.0,2.0,22,Ngày mai ít mưa 24 độ.,dSAEpO46gFQ
20,101.0,104.0,3.0,55,Thành phố Hồ Chí Minh đêm nay tạnh giáo trời mát 23 độ.,dSAEpO46gFQ
21,104.0,108.0,4.0,59,Ngày mai nắng từ sáng đến chiều nhiệt độ cao nhất là 32 độ.,dSAEpO46gFQ
22,111.0,113.0,2.0,69,Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,dSAEpO46gFQ
