id,start,end,duration,text_len,text,video_id
0,0.0,3.0,3.0,46,Bây giờ sẽ là những thông tin dự báo thời tiết,mAqt79mhlNY
1,3.0,10.0,7.0,149,"Chị Quỳnh Anh, ở huyện miền núi Ba Tơ của tỉnh Quảng Ngãi đã xảy ra hiện tượng xét đánh khiến cho 4 người bị thương phải nhập viện trong ngày hôm qua",mAqt79mhlNY
2,10.0,13.0,3.0,60,Vậy thì hiện tượng này có xuất hiện nhiều nữa hay không chị?,mAqt79mhlNY
3,13.0,16.0,3.0,66,"Dạ vâng, dông xét là cái hiện tượng đang mà sẽ còn tiếp tục xảy ra",mAqt79mhlNY
4,16.0,23.0,7.0,138,"Ở ngay trong chiều tối nay thôi thì sau một ngày nắng nóng, mưa sông nhiệt lại xuất hiện ở một số nơi thuộc khu vực Trung Bộ và Tây Nguyên",mAqt79mhlNY
5,23.0,31.0,8.0,140,"Theo dõi trên ảnh mây vệ tinh ngay sau đây thì quý vị cũng có thể thấy rõ là mây sông đang xuất hiện ở khu vực vùng núi của Nghệ An, Hà Tĩnh",mAqt79mhlNY
6,31.0,37.0,6.0,84,"Một dọc từ Quảng Trị trở vào đến Quảng Nam, cũng như là Con Tum, Gia Lai và Lâm Đồng",mAqt79mhlNY
7,37.0,45.0,8.0,135,"Độ phản hồi của mây sông lên tới màu cam như thế này thì biểu thị cho cường độ mạnh, chứng tỏ là mưa còn kèm theo cả xấm xét dữ dội nữa",mAqt79mhlNY
8,45.0,51.0,6.0,103,Và chiều tối mai cảnh báo mưa sông nhiệt như vậy vẫn có thể tiếp tục xảy ra ở cả Trung Bộ và Tây Nguyên,mAqt79mhlNY
9,52.0,57.0,5.0,88,"Vùng núi là nơi dễ xuất hiện các hiện tượng như sông lốc, gió giật, xấm xét kèm theo mưa",mAqt79mhlNY
10,57.0,62.0,5.0,74,Trong đó thì xét có thể đánh xuống bất cứ lúc nào khi mặt trời có mưa rông,mAqt79mhlNY
11,62.0,69.0,7.0,115,Với nhiệt độ nóng như bề mặt mặt trời và sòng điện lên tới cả triệu vôn thì xét có thể gây sát thương cho con người,mAqt79mhlNY
12,69.0,74.0,5.0,91,Vì thế khi thấy trời có mưa rông thì tốt nhất quý vị nên nhanh chóng tìm nơi trú ẩn an toàn,mAqt79mhlNY
13,74.0,78.0,4.0,71,"Và không nên cố di chuyển ở ngoài đường, không trú hay đứng gần gốc cây",mAqt79mhlNY
14,78.0,83.0,5.0,81,Bên cạnh đó thì dự báo từ ngày mai nắng nóng ở khu vực Bắc Bộ và Trung Bộ sẽ giảm,mAqt79mhlNY
15,83.0,90.0,7.0,104,Khả năng là các điểm nhiệt cao 35-36 độ chỉ còn xảy ra cục bộ ở phía Tây Bắc Bộ cũng như là từ Thanh Hóa,mAqt79mhlNY
16,90.0,95.0,5.0,74,"Trở vào đến Quảng Ngãi, còn lại các nơi khác thì sẽ phổ biến là dưới 34 độ",mAqt79mhlNY
17,95.0,99.0,4.0,85,Tiếp theo sẽ là phần dự báo chi tiết trong một số thành phố trong đêm nay và ngày mai,mAqt79mhlNY
18,99.0,104.0,5.0,87,"Tại thủ đô Hà Nội đêm nay dự báo tạnh giáo, chuyển dịu mát, nhiệt độ thấp nhất là 26 độ",mAqt79mhlNY
19,104.0,109.0,5.0,66,"Sáng ngày mai trời nắng gián đoạn, hơi oi, nhiệt độ cao nhất 31 độ",mAqt79mhlNY
20,109.0,113.0,4.0,46,"Đà Nẵng đêm nay cũng không mưa, trời mát 26 độ",mAqt79mhlNY
21,113.0,118.0,5.0,71,"Sáng đến đầu giờ chiều mai trời nắng, khá nóng, nhiệt độ cao nhất 33 độ",mAqt79mhlNY
22,118.0,123.0,5.0,77,"Thành phố Hồ Chí Minh đêm nay dự báo mưa ở một vài nơi, có gió thổi mát 27 độ",mAqt79mhlNY
23,123.0,127.0,4.0,57,"Sáng ngày mai trời nắng mạnh, nhiệt độ cao nhất lên 34 độ",mAqt79mhlNY
24,127.0,132.0,5.0,82,"Chiều tối mai có thể xuất hiện mưa sông mạnh, tiềm ẩn nguy cơ về gió giật, xấm xét",mAqt79mhlNY
25,134.0,138.0,4.0,48,Hẹn gặp lại các bạn trong những video tiếp theo!,mAqt79mhlNY
