id,start,end,duration,text_len,text,video_id
0,0.0,6.0,6.0,133,"Còn sau đây, biên tập viên thời tiết Hương Liên sẽ chuyển tới quý vị tình hình mưa rông chiều nay tại miền Bắc cũng như trên cả nước.",InRU8UQE_jk
1,6.0,10.0,4.0,108,"Chào chị Hương Liên, không biết là chiều nay thì đâu là những nơi mà phải gánh chịu những cơn mưa lớn đấy ạ?",InRU8UQE_jk
2,10.0,15.0,5.0,121,"Hương Anh Dương, chiều nay thì miền Bắc có khoảng tạm giảm mưa, nơi xảy ra mưa rông mạnh là khu vực Tây Nguyên và Nam Bộ.",InRU8UQE_jk
3,15.0,22.0,7.0,108,"Biểu hiện là trên ảnh radar, hai khu vực này xuất hiện các vùng có phản hồi khá mạnh, màu xanh lá và da cam,",InRU8UQE_jk
4,22.0,26.0,4.0,75,"tập trung tại Gia Lai, Đắk Lắc, Lâm Đồng, Đồng Nai, Tiền Giang và Độc Tháp.",InRU8UQE_jk
5,26.0,33.0,7.0,87,"Lượng mưa có nơi ở Đắk Lắc, Hè, Lâm Đồng đo được từ 23-30mm trong khoảng 2 giờ đồng hồ.",InRU8UQE_jk
6,33.0,40.0,7.0,107,"Bản đồ dự báo mưa cho thấy đêm nay ở Tây Nguyên và Nam Bộ sẽ ngớt mưa, vùng màu xanh chỉ xuất hiện lát đát,",InRU8UQE_jk
7,40.0,44.0,4.0,64,nhưng từ chiều và chiều tối mai sẽ lại có mưa diện rộng trở lại.,InRU8UQE_jk
8,44.0,52.0,8.0,111,"Có những nơi mưa to với lượng từ 25-50mm trong 1 giờ, tương ứng với những vùng có độ phản hồi màu xanh đậm này.",InRU8UQE_jk
9,52.0,55.0,3.0,51,Nguy cơ kèm theo cả dông lốc xấm xét trong cơn mưa.,InRU8UQE_jk
10,56.0,62.0,6.0,72,"Ở Bắc Bộ đến đêm nay mới có mưa và cũng chỉ là mưa nhỏ, lượng dưới 25mm.",InRU8UQE_jk
11,62.0,71.0,9.0,117,"Phải từ chiều tối đến đêm mai thì mới xuất hiện nhiều điểm mưa to và tập trung ở khu vực Yên Bái, Sơn La và Hòa Bình.",InRU8UQE_jk
12,71.0,75.0,4.0,75,Còn tiếp theo sẽ là những thông tin dự báo chi tiết trong một số thành phố.,InRU8UQE_jk
13,75.0,80.0,5.0,78,"Hà Nội đêm nay có lúc mưa rào 26 độ, ngày mai sáng và trưa còn nắng nhẹ 32 độ.",InRU8UQE_jk
14,80.0,82.0,2.0,28,Chiều tối có mưa to trở lại.,InRU8UQE_jk
15,82.0,87.0,5.0,86,"Nhà Trang đêm nay cũng có mưa bất chợt 27 độ, ngày mai nắng từ sáng đến khoảng 16 giờ.",InRU8UQE_jk
16,87.0,90.0,3.0,50,"Sau 16 giờ có thể có mưa, nhiệt độ cao nhất 34 độ.",InRU8UQE_jk
17,90.0,94.0,4.0,57,"Đà Lạt đêm nay hết mưa tạnh ráo, nhiệt độ khá thấp 16 độ.",InRU8UQE_jk
18,94.0,98.0,4.0,61,"Ngày mai chiều đến tối có mưa rông, nhiệt độ không quá 23 độ.",InRU8UQE_jk
19,112.0,117.0,5.0,48,Hẹn gặp lại các bạn trong những video tiếp theo.,InRU8UQE_jk
