id,start,end,duration,text_len,text,video_id
0,0.0,9.0,9.0,161,"Tiếp tục với những tin tức giao thông cũng như là tin tức thời tiết, như quý vị đã biết rằng 2 ngày nay thì ở TP.HCM đều bị ngập do đợt triều cường cao trong năm",93dbw7DYjMk
1,9.0,15.0,6.0,160,"khiến việc ghi lại của người dân khó khăn, đời sống thì bị đảo lộn. Không biết là tình hình thời tiết cũng như là triều cường trong mấy ngày tới sẽ như thế nào?",93dbw7DYjMk
2,15.0,19.0,4.0,113,Chúng ta cùng chờ đợi những thông tin cập nhật đến từ biên tập viên thời tiết Thanh Tùng. Xin mời anh Thanh Tùng.,93dbw7DYjMk
3,19.0,20.0,1.0,23,Cảm ơn anh Hoàng Dương.,93dbw7DYjMk
4,20.0,25.0,5.0,101,"Thưa quý vị và các bạn, ngày hôm nay chính là ngày mà triều cường tại TP.HCM thì đã đạt đỉnh của đợt.",93dbw7DYjMk
5,25.0,31.0,6.0,95,Còn từ ngày mai thì con nước sẽ có xu hướng là giảm dần theo tru kỳ nhưng mà vẫn còn ở mức cao.,93dbw7DYjMk
6,31.0,37.0,6.0,104,Tại TP.HCM thì 2 lần triều lên đó là vào buổi sáng và buổi chiều tối thì mức nước đều ở trên bão động 3.,93dbw7DYjMk
7,37.0,46.0,9.0,145,Đến sáng ngày kia thì con nước vẫn còn ở mức cao là trên bão động 3 và phải đến chiều tối của ngày kia thì mới giảm xuống ở quanh mức bão động 2.,93dbw7DYjMk
8,46.0,52.0,6.0,101,Không chỉ TP.HCM mà nhiều nơi khác ở hạ lưu của sông Cửu Long thì cũng sẽ có triều cao trong đợt này.,93dbw7DYjMk
9,52.0,60.0,8.0,120,Ngày mai thì đỉnh triều trên sông Hậu tại Cần Thơ hay là sông Tiền ở Mỹ Thuận thì cũng sẽ trên bão động 3 là từ 13-23cm.,93dbw7DYjMk
10,60.0,66.0,6.0,102,"Với diễn biến triều cường như vậy thì những vùng trũng thấp và ven sông của TP.HCM, Cần Thơ, Vĩnh Long",93dbw7DYjMk
11,66.0,73.0,7.0,124,cũng như là nhiều nơi khác ở hạ nguồn của đoàn sông Cửu Long thì sẽ ngập ống tái diễn vào khoảng từ 5-7 giờ và từ 17-19 giờ.,93dbw7DYjMk
12,73.0,76.0,3.0,36,Mức ngập đến khoảng nửa bánh xe máy.,93dbw7DYjMk
13,76.0,80.0,4.0,93,"Vì vậy quý vị hãy có những kế hoạch phù hợp để chúng ta tránh đi vào những khu đường bị ngập,",93dbw7DYjMk
14,80.0,87.0,7.0,105,"rồi là chủ động kê cao đồ đạc, chuẩn bị bao cát tránh trước cửa nhà để tránh nước tràn vào bên trong nhà.",93dbw7DYjMk
15,87.0,91.0,4.0,83,Còn sau đây sẽ là phần dự báo chi tiết cho các thành phố trong đêm nay và ngày mai.,93dbw7DYjMk
16,91.0,98.0,7.0,100,"Với TP.HCM thì đêm nay tạnh giáo có mức nhiệt là 25 độ, sáng đến chiều mai trời nắng khá nóng 34 độ.",93dbw7DYjMk
17,98.0,102.0,4.0,58,Mưa khả năng chỉ xảy ra vài nơi về chiều tối và rất nhanh.,93dbw7DYjMk
18,103.0,107.0,4.0,62,"Đà Nẵng còn mưa rào bất trợt trong đêm nay, trời mát mẻ 25 độ.",93dbw7DYjMk
19,107.0,111.0,4.0,56,Sáng ngày mai thì mưa sẽ hết và nhiệt độ tăng lên 28 độ.,93dbw7DYjMk
20,112.0,117.0,5.0,96,Thủ đô Hà Nội cũng có mưa trong đêm nay và sáng mai cảm giác khá là lạnh khi mức nhiệt là 19 độ.,93dbw7DYjMk
21,117.0,122.0,5.0,67,"Còn từ trưa vào chiều mai trời chuyển tạnh giáo, nhiệt độ là 27 độ.",93dbw7DYjMk
22,132.0,136.0,4.0,69,Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,93dbw7DYjMk
