video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
FqOJc-nPMOY,0,0.0,8.0,8.0,"Thưa quý vị, công tác tìm kiếm 2 du khách mất tích ở huyện Lạc Dương, tỉnh Lâm Đồng đã diễn ra trong suốt ngày hôm nay.","Thưa quý vị, công tác tìm kiếm 2 du khách mất tích ở huyện Lạc Dương, tỉnh Lâm Đồng đã diễn ra suốt ngày hôm nay, với khoảng 100 người thuộc lực lượng cứu hộ cứu nạn tham gia, nhưng do mưa lớn, việc tìm kiếm vẫn chưa có kết quả.","Thưa quý vị, công tác tìm kiếm 2 du khách mất tích ở huyện Lạc Dương, tỉnh Lâm Đồng đã diễn ra trong suốt ngày hôm nay.",REVERT,HIGH
FqOJc-nPMOY,1,8.0,12.0,4.0,Khoảng 100 người thuộc lực lượng cứu hộ cứu nạn đã nỗ lực tìm kiếm.,"Khoảng 100 người thuộc lực lượng cứu hộ cứu nạn đã nỗ lực tìm kiếm hai du khách mất tích ở huyện Lạc Dương, tỉnh Lâm Đồng trong suốt ngày hôm nay.",Khoảng 100 người thuộc lực lượng cứu hộ cứu nạn đã nỗ lực tìm kiếm.,REVERT,HIGH
FqOJc-nPMOY,2,12.0,15.0,3.0,"Nhưng do mưa lớn, việc tìm kiếm vẫn chưa có kết quả.","Tuy nhiên, do mưa lớn, công tác tìm kiếm vẫn chưa mang lại kết quả.","Tuy nhiên, do mưa lớn, công tác tìm kiếm vẫn chưa mang lại kết quả.",OK,HIGH
FqOJc-nPMOY,3,15.0,19.0,4.0,Hai du khách bị nước cuốn trôi mất tích là nữ cùng ngụ tại TP.HCM,Hai du khách nữ bị nước cuốn trôi mất tích là người ngụ tại TP.HCM.,Hai du khách nữ bị nước cuốn trôi mất tích là người ngụ tại TP.HCM.,OK,HIGH
FqOJc-nPMOY,4,19.0,27.0,8.0,khi đăng cùng đoàn du khách 64 người tham gia cua du lịch dợ ở vườn quốc gia Bí Đúc Núi Bà và 3 công ty du lịch khác tổ chức.,Hai du khách nữ ngụ tại TP.HCM đã mất tích khi tham gia cùng đoàn 64 người trong chuyến du lịch tại vườn quốc gia Bí Đúc Núi Bà do 3 công ty du lịch tổ chức.,khi đăng cùng đoàn du khách 64 người tham gia cua du lịch dợ ở vườn quốc gia Bí Đúc Núi Bà và 3 công ty du lịch khác tổ chức.,REVERT,LOW
FqOJc-nPMOY,5,27.0,31.0,4.0,Do sức khỏe không đảm bảo nên đoàn du khách 5 người và 1 hướng dẫn viên đã quay trở về.,"Do sức khỏe không đảm bảo, đoàn du khách gồm 5 người và 1 hướng dẫn viên đã phải quay trở về.","Do sức khỏe không đảm bảo, đoàn du khách gồm 5 người và 1 hướng dẫn viên đã phải quay trở về.",OK,HIGH
FqOJc-nPMOY,6,31.0,37.0,6.0,"Trên đường đi qua đoạn cầu treo, bất ngờ bị lũ dâng cao cuốn trôi cây cầu cùng đoàn du khách.","Trên đường đi qua đoạn cầu treo, đoàn du khách bất ngờ bị lũ dâng cao cuốn trôi cây cầu cùng với 5 người trong số họ.","Trên đường đi qua đoạn cầu treo, bất ngờ bị lũ dâng cao cuốn trôi cây cầu cùng đoàn du khách.",REVERT,LOW
FqOJc-nPMOY,7,37.0,41.0,4.0,"Hướng dẫn viên du lịch đã kịp thời cứu được 1 người, 4 người còn lại bị nước lũ cuốn trôi.","Hướng dẫn viên du lịch đã kịp thời cứu được 1 người, trong khi 4 người còn lại bị nước lũ cuốn trôi.","Hướng dẫn viên du lịch đã kịp thời cứu được 1 người, trong khi 4 người còn lại bị nước lũ cuốn trôi.",OK,HIGH
FqOJc-nPMOY,8,41.0,45.0,4.0,Có 2 du khách may mắn bám vào được 1 cây lớn và được cứu.,Hai du khách may mắn đã bám vào một cây lớn và được cứu.,Hai du khách may mắn đã bám vào một cây lớn và được cứu.,OK,HIGH
FqOJc-nPMOY,9,45.0,49.0,4.0,2 người còn lại bị nước lũ cuốn trôi mất tích đến lúc này vẫn chưa tìm thấy.,Hai du khách còn lại bị nước lũ cuốn trôi và đến thời điểm này vẫn chưa được tìm thấy.,Hai du khách còn lại bị nước lũ cuốn trôi và đến thời điểm này vẫn chưa được tìm thấy.,OK,HIGH
FqOJc-nPMOY,10,50.0,53.0,3.0,"Sau hơn 1 ngày mưa to do ảnh hưởng của áp thấp nhiệt đới,","Sau hơn 1 ngày mưa to do ảnh hưởng của áp thấp nhiệt đới, khu vực Lòng Hồ Krong Bách Thượng, tỉnh Đắk Lắc lại tiếp tục bị ngập lụt nghiêm trọng, khiến hàng trăm hộ dân với hàng ngàn nhân khẩu phải đối mặt với hiểm nguy.","Sau hơn 1 ngày mưa to do ảnh hưởng của áp thấp nhiệt đới,",REVERT,HIGH
FqOJc-nPMOY,11,53.0,58.0,5.0,"khu vực Lòng Hồ Krong Bách Thượng, tỉnh Đắk Lắc lại tiếp tục bị ngập lụt nghiêm trọng.","Khu vực Lòng Hồ Krong Bách Thượng, tỉnh Đắk Lắc, tiếp tục đối mặt với tình trạng ngập lụt nghiêm trọng sau hơn 1 ngày mưa lớn do ảnh hưởng của áp thấp nhiệt đới.","khu vực Lòng Hồ Krong Bách Thượng, tỉnh Đắk Lắc lại tiếp tục bị ngập lụt nghiêm trọng.",REVERT,HIGH
