path,original_text,pseudo_manual,is_uncertain
v163/scene_010_v163_c019.mp4,"Thành phố Đà Nẵng trước khi có mưa nặng hạt vào chiều tối mai, đêm nay và sáng mai mưa nhỏ, trời chủ yếu là nhiều mây,","Thành phố Đà Nẵng trước khi có mưa nặng hạt vào chiều tối mai, đêm nay và sáng mai sẽ có mưa nhỏ, trời chủ yếu là nhiều mây.",False
v067/scene_006.mp4,Nhiệt độ hạ xuống còn khoảng là 21 độ và về đêm mức nhiệt là 16 độ.,Nhiệt độ hạ xuống còn khoảng 21 độ và về đêm mức nhiệt là 16 độ.,False
v039/scene_009_v039_c051.mp4,nhiệt độ không vượt quá 22 độ.,Nhiệt độ không vượt quá 22 độ.,False
v243/scene_002_v243_c022.mp4,"Vùng Hạ Liêu, sông Thu Bồn, mực nước đang xuống chậm.","Vùng Hạ Liêu, sông Thu Bồn, mực nước đang xuống chậm.",False
v209/scene_005_v209_c018.mp4,"Thủ đô Hà Nội đêm nay không có mưa, nhiệt độ 12 độ, và ngày mai trời nắng với nhiệt độ tăng lên 22 độ.","Thủ đô Hà Nội đêm nay không có mưa, nhiệt độ 12 độ, và ngày mai trời nắng với nhiệt độ tăng lên 22 độ.",False
v158/scene_005_v158_c009.mp4,Đến trưa chiều thì dự báo là nắng mới xuất hiện trở lại ở khu vực miền Bắc,Đến trưa chiều thì dự báo là nắng sẽ xuất hiện trở lại ở khu vực miền Bắc.,False
v036/scene_011_v036_c045.mp4,"Tại TP.HCM và Biên Hòa, mức nhiệt cao nhất vào ngày mai có thể đạt 34 độ.","Tại TP.HCM và Biên Hòa, mức nhiệt cao nhất vào ngày mai có thể đạt 34 độ.",False
v168/scene_007_v168_c015.mp4,"đến phía bắc của Phú Yên sẽ có gió mạnh cấp 6, cấp 7, giật cấp 8","Đến phía bắc của Phú Yên sẽ có gió mạnh cấp 6, cấp 7, giật cấp 8.",False
v053/scene_007_v053_c020.mp4,Và độ ẩm sẽ giảm dần xuống còn ở mức là 68%,Và độ ẩm sẽ giảm dần xuống còn ở mức 68%.,False
v047/scene_005.mp4,Còn bây giờ sẽ là phần dự báo chi tiết cho các thành phố trong đêm nay và ngày mai,Còn bây giờ sẽ là phần dự báo chi tiết cho các thành phố trong đêm nay và ngày mai.,False
v062/scene_001.mp4,"Thưa quý vị, sau 2 ngày diễn ra mưa lớn và sạt lở nặng, huyện vùng cao Nam Trà My của tỉnh Quảng Nam đã bị cô lập.","Thưa quý vị, sau 2 ngày diễn ra mưa lớn và sạt lở nặng, huyện vùng cao Nam Trà My của tỉnh Quảng Nam đã bị cô lập.",False
v036/scene_010_v036_c043.mp4,"Thưa quý vị, ngay tại khu vực Nam Bộ thì sau nhiều ngày là ít mưa, nắng nhiều,","Thưa quý vị, ngay tại khu vực Nam Bộ thì sau nhiều ngày ít mưa, nắng nhiều,",False
v017/scene_003_v017_c003.mp4,"Vâng anh Dương, mưa miền Bắc sẽ kéo dài nhiều ngày, có thể là phải hết tuần sau.","Vâng anh Dương, mưa miền Bắc sẽ kéo dài nhiều ngày, có thể phải đến hết tuần sau.",False
v013/scene_001_v013_c003.mp4,"Cường độ bão mạnh cấp 8, cấp 9, giật cấp 11.","Cường độ bão mạnh cấp 8, cấp 9, giật cấp 11.",False
v074/scene_007.mp4,Lượng mưa phổ biến trong khu vực này sẽ dao động từ 50-100mm.,Lượng mưa phổ biến trong khu vực này sẽ dao động từ 50-100 mm.,False
v123/scene_003.mp4,"Quảng Bình yêu cầu các địa phương chủ động ứng phó với tình huống mưa lớn kéo dài,",Quảng Bình yêu cầu các địa phương chủ động ứng phó với tình huống mưa lớn kéo dài.,False
v207/scene_004.mp4,"Lượng mưa ở vùng trọng tâm mưa, đó là Hà Tĩnh đến Thừa Thiên Huế","""Lượng mưa ở vùng trọng tâm mưa, đó là Hà Tĩnh đến Thừa Thiên Huế.""",False
v258/scene_006.mp4,"Ở miền Trung, khu vực từ Quảng Bình đến Khánh Hòa tối vừa đêm nay có mưa rào nhẹ.","Ở miền Trung, khu vực từ Quảng Bình đến Khánh Hòa tối và đêm nay có mưa rào nhẹ.",False
v064/scene_001.mp4,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tập viên thời tiết Hương Liên.,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tập viên thời tiết Hương Liên.,False
v045/scene_008.mp4,"Chiều nay, mặc dù mưa đã tạm giảm, nhưng gió ở đây vẫn rất mạnh và sóng biển cao.","Chiều nay, mặc dù mưa đã tạm giảm, nhưng gió ở đây vẫn rất mạnh và sóng biển cao.",False
v059/scene_008.mp4,"Gió to, sóng lớn có khả năng ảnh hưởng đến hàng trăm tàu cá nhỏ đang neo đậu","Gió to, sóng lớn có khả năng ảnh hưởng đến hàng trăm tàu cá nhỏ đang neo đậu.",False
v105/scene_003.mp4,"Vâng, khả năng là mưa vẫn sẽ còn tiếp tục xảy ra ở Hà Nội cũng như nhiều nơi khác.","Vâng, khả năng mưa vẫn sẽ còn tiếp tục xảy ra ở Hà Nội cũng như nhiều nơi khác.",False
v009/scene_013_v009_c028.mp4,Còn tiếp theo sẽ là phần dự báo thời tiết cho một số thành phố trong đêm nay và ngày mai.,Còn tiếp theo sẽ là phần dự báo thời tiết cho một số thành phố trong đêm nay và ngày mai.,False
v199/scene_002_v199_c010.mp4,"Bên cạnh đó thì các hiện tượng như là lũ quét, sạt lở đất cũng có nguy cơ cao xảy ra ở khu vực vùng núi","Bên cạnh đó, các hiện tượng như lũ quét, sạt lở đất cũng có nguy cơ cao xảy ra ở khu vực vùng núi.",False
v037/scene_006_v037_c025.mp4,"Sau đó đến trưa và chiều mai, khi nắng nhiều, nhiệt độ lại tăng nhanh lên,","""Sau đó đến trưa và chiều mai, khi nắng nhiều, nhiệt độ lại tăng nhanh lên,""",False
v112/scene_006_v112_c030.mp4,Ngày mai thì trời nắng ấm 24 độ,Ngày mai trời nắng ấm 24 độ.,False
v016/scene_002.mp4,Những ngày trước Tết này ở miền Bắc lại đang có vẻ ấm lên.,Những ngày trước Tết này ở miền Bắc lại đang có vẻ ấm lên.,False
v000/scene_003.mp4,"Ngoài sạt lở, ngập lụt ở những vùng trũng thấp cũng đang gia tăng nhanh chóng và mở rộng khi lũ trên các sông dâng cao.","Ngoài sạt lở, ngập lụt ở những vùng trũng thấp cũng đang gia tăng nhanh chóng và mở rộng khi lũ trên các sông dâng cao.",False
v058/scene_002_v058_c004.mp4,"Đối với thủ đô Hà Nội hay là Hòa Bình, Ninh Bình còn lên mức nắng nóng gây gắt là 37 độ.","Đối với thủ đô Hà Nội hay Hòa Bình, Ninh Bình còn lên mức nắng nóng gay gắt là 37 độ.",False
v127/scene_015_v127_c073.mp4,Vùng mưa sẽ phổ biến từ khu vực Hà Tĩnh trở vào tiến Quảng Ngãi.,"""Vùng mưa sẽ phổ biến từ khu vực Hà Tĩnh trở vào đến Quảng Ngãi.""",False
v111/scene_004_v111_c030.mp4,Trên đêm mai sẽ thấy rét rõ.,"""Trên đêm mai sẽ thấy rét rõ."" [UNCERTAIN]",True
v202/scene_014.mp4,"Ban ngày nắng nhiều, nhiệt độ tăng lên rất nhanh, lên mức 27 độ vào buổi trưa","Ban ngày nắng nhiều, nhiệt độ tăng lên rất nhanh, đạt mức 27 độ vào buổi trưa.",False
v031/scene_002_v031_c003.mp4,"Dạ vâng, theo như dự báo sang tới ngày mai thì cái mức nhiệt 40 độ nắng nóng đặc biệt gay gắt thì vẫn tiếp tục xảy ra ở Quỳ Hợp và Hương Khê.","Dạ vâng, theo như dự báo sang tới ngày mai thì mức nhiệt 40 độ nắng nóng đặc biệt gay gắt vẫn tiếp tục xảy ra ở Quỳ Hợp và Hương Khê.",False
v029/scene_007_v029_c018.mp4,"Chỉ ít nơi của miền Bắc như là tại Điện Biên Phủ và Sơn La, cảm giác sẽ dễ chịu 30-31 độ.","Chỉ ít nơi của miền Bắc như tại Điện Biên Phủ và Sơn La, cảm giác sẽ dễ chịu 30-31 độ.",False
v215/scene_006_v215_c008.mp4,Đối với các tỉnh thành từ Hà Tĩnh trở ra tới Bắc Bộ thì vẫn tiếp tục có những đợt không khí lạnh tràn về trên một nền nhiệt ở đây đang nóng ẩm bởi vậy mà bầu không khí dễ bị xáo trộn.,"""Đối với các tỉnh thành từ Hà Tĩnh trở ra tới Bắc Bộ, thì vẫn tiếp tục có những đợt không khí lạnh tràn về trên một nền nhiệt ở đây đang nóng ẩm; bởi vậy, bầu không khí dễ bị xáo trộn.""",False
v197/scene_004_v197_c008.mp4,"Còn tại tỉnh Con Tum, nước lũ gây ngập lụt ở các vùng trụng thấp thuộc một số huyện và thành phố Con Tum.","Còn tại tỉnh Kon Tum, nước lũ gây ngập lụt ở các vùng trũng thấp thuộc một số huyện và thành phố Kon Tum.",False
v229/scene_004_v229_c085.mp4,"Thưa quý vị, cơn bão số 7 đang tiến gần vào vịnh Bắc Bộ.","Thưa quý vị, cơn bão số 7 đang tiến gần vào vịnh Bắc Bộ.",False
v175/scene_002.mp4,"Dạ vâng, ngày hôm nay thì Nam Bộ rất là nắng nóng để có thể biết được mức độ ngày hôm nay ra sao.","Dạ vâng, ngày hôm nay thì Nam Bộ rất nắng nóng để có thể biết được mức độ ngày hôm nay ra sao.",False
v209/scene_004_v209_c016.mp4,"Khu vực Đồng Bằng, trong đó có Thủ đô Hà Nội, dự báo nhiệt độ sẽ dao động từ 11 đến 12 độ.","Khu vực Đồng Bằng, trong đó có Thủ đô Hà Nội, dự báo nhiệt độ sẽ dao động từ 11 đến 12 độ.",False
v086/scene_008.mp4,"Còn bây giờ, chúng tôi sẽ chuyển sang thông tin dự báo chi tiết cho một số thành phố trong đêm nay và ngày mai.","Còn bây giờ, chúng tôi sẽ chuyển sang thông tin dự báo chi tiết cho một số thành phố trong đêm nay và ngày mai.",False
v154/scene_008.mp4,"Thành phố Đà Lạt đêm nay không mưa 17 độ, ngày mai trời nắng 25 độ, chiều tối có mưa rông.","Thành phố Đà Lạt đêm nay không mưa, nhiệt độ 17 độ, ngày mai trời nắng 25 độ, chiều tối có mưa rông.",False
v200/scene_008_v200_c023.mp4,Ngày mai có nắng nhiệt độ tăng dần cao nhất 17 độ,"Ngày mai có nắng, nhiệt độ tăng dần, cao nhất 17 độ.",False
v248/scene_011.mp4,"Cả Nẵng 2 ngày đầu tuần vẫn nắng ráo, nhiệt độ giữ ở mức vừa phải,","Cả Đà Nẵng 2 ngày đầu tuần vẫn nắng ráo, nhiệt độ giữ ở mức vừa phải.",False
v175/scene_003_v175_c010.mp4,"Nhưng ai cũng cảm thấy khô hơn do độ ẩm tiếp tục giảm, chỉ còn là 23% cực kỳ thấp.","Nhưng ai cũng cảm thấy khô hơn do độ ẩm tiếp tục giảm, chỉ còn 23%, cực kỳ thấp.",False
v028/scene_004.mp4,"Từ sau 4 giờ sáng mai thì mưa có thể dứt,","""Từ sau 4 giờ sáng mai thì mưa có thể dứt.""",False
v084/scene_004_v084_c009.mp4,Rõ nhất là ở khu vực phía Tây Bắc Bộ và Thanh Hóa cho tới Quảng Ngãi.,Rõ nhất là ở khu vực phía Tây Bắc Bộ và Thanh Hóa cho tới Quảng Ngãi.,False
v168/scene_004_v168_c009.mp4,tốc độ di chuyển của bão lại vừa khiến nước biển tại khu vực này lạnh đi.,Tốc độ di chuyển của bão lại vừa khiến nước biển tại khu vực này lạnh đi.,False
v227/scene_002_v227_c004.mp4,"Để hình dung những khu vực có mưa, ngay bây giờ chúng ta sẽ cùng quan sát hình ảnh mây vệ tinh.","""Để hình dung những khu vực có mưa, ngay bây giờ chúng ta sẽ cùng quan sát hình ảnh mây vệ tinh.""",False
