video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
zJ2wzGmaBt0,0,0.0,12.0,12.0,Ít nhất là 2 người thiệt mạng và 20 người còn đang mất tích sau vụ lở đất quét qua thành phố ven biển Atami nằm ở phía tây nam của thủ đô Tokyo của Nhật Bản.,Ít nhất là 2 người thiệt mạng và 20 người còn đang mất tích sau vụ lở đất quét qua thành phố ven biển Atami nằm ở phía tây nam của thủ đô Tokyo của Nhật Bản.,Ít nhất là 2 người thiệt mạng và 20 người còn đang mất tích sau vụ lở đất quét qua thành phố ven biển Atami nằm ở phía tây nam của thủ đô Tokyo của Nhật Bản.,OK,HIGH
zJ2wzGmaBt0,1,12.0,17.0,5.0,Chính phủ Nhật Bản đã ban bố cảnh báo ở mức cao nhất do nguy cơ xảy ra thảm họa.,Chính phủ Nhật Bản đã ban bố cảnh báo ở mức cao nhất do nguy cơ xảy ra thảm họa.,Chính phủ Nhật Bản đã ban bố cảnh báo ở mức cao nhất do nguy cơ xảy ra thảm họa.,OK,HIGH
zJ2wzGmaBt0,2,20.0,26.0,6.0,Mấy trăm cảnh sát và lực lực phòng vệ Nhật Bản cùng lính Y Hòa đang nỗ lực tìm kiếm những người còn đang mất tích.,Mấy trăm cảnh sát và lực lực phòng vệ Nhật Bản cùng lính Y Hòa đang nỗ lực tìm kiếm những người còn đang mất tích.,Mấy trăm cảnh sát và lực lực phòng vệ Nhật Bản cùng lính Y Hòa đang nỗ lực tìm kiếm những người còn đang mất tích.,OK,HIGH
zJ2wzGmaBt0,3,26.0,32.0,6.0,"Lực lượng bảo vệ bờ biển Nhật Bản cũng đang tìm kiếm tại một càng biển gần đó, nơi hai phụ nữ thiệt mạng đã được tìm thấy.","Lực lượng bảo vệ bờ biển Nhật Bản cũng đang tìm kiếm tại một càng biển gần đó, nơi hai phụ nữ thiệt mạng đã được tìm thấy.","Lực lượng bảo vệ bờ biển Nhật Bản cũng đang tìm kiếm tại một càng biển gần đó, nơi hai phụ nữ thiệt mạng đã được tìm thấy.",OK,HIGH
zJ2wzGmaBt0,4,32.0,36.0,4.0,Gần 400 người dân sinh sống trong khu vực đã được lệnh đi sơ tán.,Gần 400 người dân sinh sống trong khu vực đã được lệnh đi sơ tán.,Gần 400 người dân sinh sống trong khu vực đã được lệnh đi sơ tán.,OK,HIGH
zJ2wzGmaBt0,5,36.0,40.0,4.0,Những người chứng kiến cho biết họ chưa bao giờ thấy một trận lở đất nào lớn đến như vậy.,Những người chứng kiến cho biết họ chưa bao giờ thấy một trận lở đất nào lớn đến như vậy.,Những người chứng kiến cho biết họ chưa bao giờ thấy một trận lở đất nào lớn đến như vậy.,OK,HIGH
zJ2wzGmaBt0,6,43.0,46.0,3.0,"Khi chứng kiến những gì xảy ra, tôi chỉ muốn khóc.","Khi chứng kiến những gì xảy ra, tôi chỉ muốn khóc.","Khi chứng kiến những gì xảy ra, tôi chỉ muốn khóc.",OK,HIGH
zJ2wzGmaBt0,7,46.0,49.0,3.0,"Trước đây đã xảy ra những trận lở đất nhỏ,","Trước đây đã xảy ra những trận lở đất nhỏ,","Trước đây đã xảy ra những trận lở đất nhỏ,",OK,HIGH
zJ2wzGmaBt0,8,49.0,57.0,8.0,nhưng đây là lần đầu tiên chúng tôi gặp phải một thảm họa lớn đến như vậy mà cần đến sự giúp đỡ của lực lượng phòng vệ và cứu hỏa đến từ Tokyo.,nhưng đây là lần đầu tiên chúng tôi gặp phải một thảm họa lớn đến như vậy mà cần đến sự giúp đỡ của lực lượng phòng vệ và cứu hỏa đến từ Tokyo.,nhưng đây là lần đầu tiên chúng tôi gặp phải một thảm họa lớn đến như vậy mà cần đến sự giúp đỡ của lực lượng phòng vệ và cứu hỏa đến từ Tokyo.,OK,HIGH
zJ2wzGmaBt0,9,57.0,62.0,5.0,Mẹ tôi cũng nói chưa có trận lở đất nào lớn đến thế này xảy ra ở đây.,Mẹ tôi cũng nói chưa có trận lở đất nào lớn đến thế này xảy ra ở đây.,Mẹ tôi cũng nói chưa có trận lở đất nào lớn đến thế này xảy ra ở đây.,OK,HIGH
