id,start,end,duration,text_len,text,video_id
0,0.0,5.0,5.0,148,"Còn quay trở lại với tình hình thế tiết mới hôm nay tại khu vực miền Bắc, không biết là tình hình mưa còn kéo dài trong mấy ngày tới không anh Tùng?",6EGfYnIyFCE
1,5.0,10.0,5.0,112,"Đã vâng, tình trạng mưa ẩm thì sẽ còn tiếp tục diễn ra ở miền Bắc cũng như là Thanh Hóa trong khoảng 3 ngày nữa.",6EGfYnIyFCE
2,10.0,14.0,4.0,82,"Bởi vì thưa quý vị, không khí lạnh thì vẫn đang liên tục tăng cường xuống nước ta.",6EGfYnIyFCE
3,14.0,22.0,8.0,139,Trong đó thì đêm nay và ngày mai thì sẽ xuất hiện mưa vừa mưa to và phải đến thứ tư trở đi thì miền Bắc mới tạnh giáo và xuất hiện nắng ấm.,6EGfYnIyFCE
4,22.0,26.0,4.0,67,"Bởi vì có mưa nên ngày mai thì miền Bắc và Thanh Hóa trời vẫn lạnh,",6EGfYnIyFCE
5,26.0,30.0,4.0,62,nhiệt độ cao nhất ở các thành phố sẽ giao động là từ 22-25 độ.,6EGfYnIyFCE
6,30.0,35.0,5.0,79,"Chỉ có thành phố cao bằng là 20 độ, cũng như là Lạng Sơn khá là thấp chỉ 20 độ.",6EGfYnIyFCE
7,35.0,40.0,5.0,102,"Ở miền Trung thì dự báo là mưa vừa mưa to sẽ còn xuất hiện trong đêm nay ở Nghệ An cho đến Quảng Ngãi,",6EGfYnIyFCE
8,40.0,43.0,3.0,59,sang ngày mai thì toàn miền chỉ còn mưa rào nhẹ ngắt quáng.,6EGfYnIyFCE
9,43.0,48.0,5.0,81,"Với khu vực Nam Bộ thì dự báo từ sáng cho đến khoảng 14h chiều mai thì trời nắng,",6EGfYnIyFCE
10,48.0,55.0,7.0,100,riêng buổi trưa thì sẽ khá nóng khi mà nhiệt độ tại TP.HCM và nhiều nơi khác sẽ đạt mức là 33-34 độ.,6EGfYnIyFCE
11,55.0,59.0,4.0,60,Chỉ rất ít nơi như là TP.Vị Thanh mới có mức nhiệt là 32 độ.,6EGfYnIyFCE
12,59.0,63.0,4.0,55,"Sau 14h thì trời sẽ có mưa rông, có nơi mưa vừa mưa to.",6EGfYnIyFCE
13,63.0,66.0,3.0,87,Còn bây giờ chúng tôi sẽ được chuyển sang phần cập nhật những thông tin dự báo chi tiết,6EGfYnIyFCE
14,66.0,68.0,2.0,44,cho các thành phố trong đêm nay và ngày mai.,6EGfYnIyFCE
15,68.0,74.0,6.0,82,"Thủ đô Hà Nội đêm nay tiếp tục mưa rét 19 độ, ngày mai thì trời vẫn còn mưa 22 độ.",6EGfYnIyFCE
16,75.0,83.0,8.0,105,"TP.Huế cũng mưa giả dích từ đêm nay cho đến ngày mai, nhiệt độ thấp nhất khoảng 23 độ, cao nhất là 29 độ.",6EGfYnIyFCE
17,84.0,91.0,7.0,85,"TP.HCM dự báo đêm nay gần như tạnh giáo, trời mát 25 độ, trưa mai thì khá nóng 34 độ.",6EGfYnIyFCE
18,91.0,95.0,4.0,70,"Chiều tối mai sẽ chuyển mưa rông, cục bộ có những điểm mưa vừa mưa to.",6EGfYnIyFCE
19,104.0,106.0,2.0,6,TP.HCM,6EGfYnIyFCE
