id,start,end,duration,text_len,text,video_id
0,1.0,4.0,3.0,88,Chuyển sang những thông tin dự báo thời tiết cùng với biên tập viên thời tiết Quỳnh Anh.,2H7ij61BOTQ
1,4.0,10.0,6.0,134,"Chị Quỳnh Anh, trong phần tin lúc 17h30 thì chúng ta đã biết Quảng Nam, Quảng Ngãi thì tình hình mưa lũ lại diễn biến rất là phức tạp.",2H7ij61BOTQ
2,10.0,12.0,2.0,41,Nhiều hộ dân đang sống trong cảnh cô lập.,2H7ij61BOTQ
3,12.0,15.0,3.0,95,Vậy thì không biết là những ngày tới thì tình hình mưa lũ ở đây diễn biến như thế nào thưa chị?,2H7ij61BOTQ
4,15.0,19.0,4.0,77,"Dạ vâng, do ảnh hưởng từ hoàn lưu áp thấp nhiệt đới suy yếu từ cơn bão số 10,",2H7ij61BOTQ
5,19.0,24.0,5.0,96,mà từ đêm qua cho tới tận chiều nay mưa lớn hàng trăm mm đã không ngừng chút xuống hai tỉnh này.,2H7ij61BOTQ
6,24.0,31.0,7.0,79,"Thưa quý vị và các bạn, cụ thể ở Quảng Nam thì lượng mưa đã lên tới 300-400 mm.",2H7ij61BOTQ
7,31.0,37.0,6.0,100,Ở Quảng Ngãi thì còn có những điểm như là Đức Phong thì còn vượt 600 mm chỉ trong vòng 18 tiếng qua.,2H7ij61BOTQ
8,37.0,41.0,4.0,64,Mưa dồn dập đã khiến cho lũ trên các sông ở Quảng Ngãi dâng cao.,2H7ij61BOTQ
9,41.0,45.0,4.0,66,Đầu giờ chiều nay thì đã có 2 con sông vượt mức báo động khẩn cấp.,2H7ij61BOTQ
10,45.0,52.0,7.0,68,Đó chính là sông Vệ và sông Trà Câu vượt mức báo động 3 từ 38-40 cm.,2H7ij61BOTQ
11,52.0,56.0,4.0,66,"Báo trong tối và đêm nay thì lũ trên 2 con sông này sẽ xuống chậm,",2H7ij61BOTQ
12,56.0,60.0,4.0,39,dưới mức báo động 3 khoảng từ 20-30 cm.,2H7ij61BOTQ
13,60.0,64.0,4.0,52,Còn đối với sông Trà Khúc thì sẽ lên mức báo động 2.,2H7ij61BOTQ
14,64.0,68.0,4.0,62,"Ngập lụt diện rộng vẫn xảy ra ở các vùng trũng thấp phên sông,",2H7ij61BOTQ
15,68.0,71.0,3.0,47,đặc biệt là hạ lưu của sông Trà Câu và sông Vệ.,2H7ij61BOTQ
16,71.0,75.0,4.0,54,"Nguy cơ rất cao xảy ra lũ quét sạt lửa đất ở vùng núi,",2H7ij61BOTQ
17,75.0,81.0,6.0,77,"các tỉnh như Trà Vòng, Trà Tây, Tây Trà, Sơn Tây, Sơn Hà, Ba Tơ và Minh Long.",2H7ij61BOTQ
18,81.0,86.0,5.0,84,Ngoài ra thì vùng núi từ Thừa Thiên Huế cho tới Bình Định và phía bắc của Tây Nguyên,2H7ij61BOTQ
19,86.0,89.0,3.0,47,khả năng cũng sẽ xảy ra lũ quét và sạt lửa đất.,2H7ij61BOTQ
20,89.0,94.0,5.0,83,"Đối với Thừa Thiên Huế đến Bình Định dự báo là trong đêm nay sẽ tiếp tục có mưa to,",2H7ij61BOTQ
21,94.0,98.0,4.0,35,với lượng mưa phổ biến là 50-100mm.,2H7ij61BOTQ
22,98.0,104.0,6.0,70,"Còn Quảng Bình, Quảng Trị, Con Tung và Gia Lai thì là mưa vừa 30-60mm.",2H7ij61BOTQ
23,104.0,106.0,2.0,56,Chuyển sang thông tin dự báo chi tiết cho các thành phố.,2H7ij61BOTQ
24,106.0,110.0,4.0,58,"Tại thủ đô Hà Nội đêm nay trời không mưa, 22 độ trời lạnh.",2H7ij61BOTQ
25,110.0,113.0,3.0,44,"Ngày mai hửng nắng, nhiệt độ tăng lên 27 độ.",2H7ij61BOTQ
26,113.0,117.0,4.0,55,"Đà Nẵng đêm nay có mưa vừa, mưa to cũng khá lạnh 22 độ.",2H7ij61BOTQ
27,117.0,120.0,3.0,47,"Ngày mai mưa giảm dần, nhiệt độ cao nhất 28 độ.",2H7ij61BOTQ
28,120.0,122.0,2.0,29,Đà Lạt đêm nay mưa rét 17 độ.,2H7ij61BOTQ
29,122.0,126.0,4.0,55,"Ngày mai mưa muộn về chiều tối, ban ngày có nắng 25 độ.",2H7ij61BOTQ
