video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
Vpk5Qkv5toQ,0,0.0,8.0,8.0,"Gần một tuần sau khi bão tuyết quét qua, cuộc sống của cộng đồng người Việt Nam tại bang Texas đã dần trở lại bình thường.","Gần một tuần sau khi bão tuyết quét qua, cuộc sống của cộng đồng người Việt Nam tại bang Texas đã dần trở lại bình thường.","Gần một tuần sau khi bão tuyết quét qua, cuộc sống của cộng đồng người Việt Nam tại bang Texas đã dần trở lại bình thường.",OK,HIGH
Vpk5Qkv5toQ,1,8.0,12.0,4.0,"Điện, nước đã có trở lại, các hàng quán, công ty cũng dần mở cửa.","Điện, nước đã có trở lại, các hàng quán, công ty cũng dần mở cửa.","Điện, nước đã có trở lại, các hàng quán, công ty cũng dần mở cửa.",OK,HIGH
Vpk5Qkv5toQ,2,12.0,18.0,6.0,"Nhưng tại nhiều hộ gia đình người Việt, hệ thống đường ống nước đã bị hư hại, khiến cho họ không có nước sử dụng.","Nhưng tại nhiều hộ gia đình người Việt, hệ thống đường ống nước đã bị hư hại, khiến cho họ không có nước sử dụng.","Nhưng tại nhiều hộ gia đình người Việt, hệ thống đường ống nước đã bị hư hại, khiến cho họ không có nước sử dụng.",OK,HIGH
Vpk5Qkv5toQ,3,18.0,26.0,8.0,"Trước tình hình đó, cộng đồng người Việt tại đây đã có các hoạt động hỗ trợ, góp công sức và thời gian để giúp nhau vượt qua những ngày khó khăn này.","Trước tình hình đó, cộng đồng người Việt tại đây đã có các hoạt động hỗ trợ, góp công sức và thời gian để giúp nhau vượt qua những ngày khó khăn này.","Trước tình hình đó, cộng đồng người Việt tại đây đã có các hoạt động hỗ trợ, góp công sức và thời gian để giúp nhau vượt qua những ngày khó khăn này.",OK,HIGH
Vpk5Qkv5toQ,4,27.0,33.0,6.0,"Do ảnh hưởng của cơn bão tuyết, chân trong phòng vệ sinh của gia đình anh Phương bị sập mái.","Do ảnh hưởng của cơn bão tuyết, chân trong phòng vệ sinh của gia đình anh Phương bị sập mái.","Do ảnh hưởng của cơn bão tuyết, chân trong phòng vệ sinh của gia đình anh Phương bị sập mái.",OK,HIGH
Vpk5Qkv5toQ,5,33.0,37.0,4.0,Nhà có trẻ nhỏ nên việc thiếu nước gây khá nhiều bất tiện trong cuộc sống.,Nhà có trẻ nhỏ nên việc thiếu nước gây khá nhiều bất tiện trong cuộc sống.,Nhà có trẻ nhỏ nên việc thiếu nước gây khá nhiều bất tiện trong cuộc sống.,OK,HIGH
Vpk5Qkv5toQ,6,37.0,41.0,4.0,"Chỉ trong vài ngày, anh Phương đã nhận được sự hỗ trợ để khắc phục đường ống nước.","Chỉ trong vài ngày, anh Phương đã nhận được sự hỗ trợ để khắc phục đường ống nước.","Chỉ trong vài ngày, anh Phương đã nhận được sự hỗ trợ để khắc phục đường ống nước.",OK,HIGH
Vpk5Qkv5toQ,7,56.0,60.0,4.0,"Sẵn kinh nghiệm trong ngành xây dựng, khi nhìn thấy những khó khăn của cộng đồng người Việt sau cơn bão tuyết,","Sẵn kinh nghiệm trong ngành xây dựng, khi nhìn thấy những khó khăn của cộng đồng người Việt sau cơn bão tuyết,","Sẵn kinh nghiệm trong ngành xây dựng, khi nhìn thấy những khó khăn của cộng đồng người Việt sau cơn bão tuyết,",OK,HIGH
Vpk5Qkv5toQ,8,60.0,66.0,6.0,"anh Đạt cùng một số người bạn của mình đã đăng lời nhận hỗ trợ sửa nhà, sửa đường ống nước trên Facebook cá nhân.","anh Đạt cùng một số người bạn của mình đã đăng lời nhận hỗ trợ sửa nhà, sửa đường ống nước trên Facebook cá nhân.","anh Đạt cùng một số người bạn của mình đã đăng lời nhận hỗ trợ sửa nhà, sửa đường ống nước trên Facebook cá nhân.",OK,HIGH
Vpk5Qkv5toQ,9,66.0,71.0,5.0,"Chỉ trong vòng một thời gian ngắn, bài đăng của anh nhận được sự chia sẻ rộng rãi.","Chỉ trong vòng một thời gian ngắn, bài đăng của anh nhận được sự chia sẻ rộng rãi.","Chỉ trong vòng một thời gian ngắn, bài đăng của anh nhận được sự chia sẻ rộng rãi.",OK,HIGH
Vpk5Qkv5toQ,10,86.0,90.0,4.0,"Chỉ trong vài ngày, anh Phương đã nhận được sự hỗ trợ để khắc phục đường ống nước trên Facebook cá nhân.","Chỉ trong vài ngày, anh Phương đã nhận được sự hỗ trợ để khắc phục đường ống nước trên Facebook cá nhân.","Chỉ trong vài ngày, anh Phương đã nhận được sự hỗ trợ để khắc phục đường ống nước trên Facebook cá nhân.",OK,HIGH
Vpk5Qkv5toQ,11,90.0,94.0,4.0,"Sẵn kinh nghiệm trong ngành xây dựng, khi nhìn thấy những khó khăn của cộng đồng người Việt sau cơn bão tuyết,","Sẵn kinh nghiệm trong ngành xây dựng, khi nhìn thấy những khó khăn của cộng đồng người Việt sau cơn bão tuyết,","Sẵn kinh nghiệm trong ngành xây dựng, khi nhìn thấy những khó khăn của cộng đồng người Việt sau cơn bão tuyết,",OK,HIGH
Vpk5Qkv5toQ,12,94.0,98.0,4.0,"anh Đạt cùng một số người bạn của mình đã đăng lời nhận hỗ trợ sửa nhà, sửa đường ống nước trên Facebook cá nhân.","anh Đạt cùng một số người bạn của mình đã đăng lời nhận hỗ trợ sửa nhà, sửa đường ống nước trên Facebook cá nhân.","anh Đạt cùng một số người bạn của mình đã đăng lời nhận hỗ trợ sửa nhà, sửa đường ống nước trên Facebook cá nhân.",OK,HIGH
Vpk5Qkv5toQ,13,98.0,102.0,4.0,"Chỉ trong vòng một thời gian ngắn, bài đăng của anh nhận được sự chia sẻ rộng rãi.","Chỉ trong vòng một thời gian ngắn, bài đăng của anh nhận được sự chia sẻ rộng rãi.","Chỉ trong vòng một thời gian ngắn, bài đăng của anh nhận được sự chia sẻ rộng rãi.",OK,HIGH
