video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
tZL17E37tGc,0,0.0,5.0,5.0,Việt Nam hôm nay sẽ tiếp tục với những thông tin về dự báo cháy rừng thời gian tới đây.,Việt Nam hôm nay sẽ tiếp tục với những thông tin về dự báo cháy rừng thời gian tới đây.,Việt Nam hôm nay sẽ tiếp tục với những thông tin về dự báo cháy rừng thời gian tới đây.,OK,HIGH
tZL17E37tGc,1,5.0,9.5,4.5,"Trong giai đoạn nắng nóng cao điểm như hiện nay thì cháy rừng đã xảy ra ở nhiều khu vực trên thế giới,","Trong giai đoạn nắng nóng cao điểm như hiện nay thì cháy rừng đã xảy ra ở nhiều khu vực trên thế giới,","Trong giai đoạn nắng nóng cao điểm như hiện nay thì cháy rừng đã xảy ra ở nhiều khu vực trên thế giới,",OK,HIGH
tZL17E37tGc,2,9.5,13.0,3.5,"trong đó có cả Việt Nam, gây ra nhiều thiệt hại nặng nề.","trong đó có cả Việt Nam, gây ra nhiều thiệt hại nặng nề.","trong đó có cả Việt Nam, gây ra nhiều thiệt hại nặng nề.",OK,HIGH
tZL17E37tGc,3,15.0,21.5,6.5,"Cuối tháng 6 vừa qua, 90% thị trấn Layton ở Bristis, Columbia tại cực tây của Canada","Cuối tháng 6 vừa qua, 90% thị trấn Layton ở Bristis, Columbia tại cực tây của Canada","Cuối tháng 6 vừa qua, 90% thị trấn Layton ở Bristis, Columbia tại cực tây của Canada",OK,HIGH
tZL17E37tGc,4,21.5,24.5,3.0,đã bị thiêu rụi khi cháy rừng lan xuống khu dân cư.,đã bị thiêu rụi khi cháy rừng lan xuống khu dân cư.,đã bị thiêu rụi khi cháy rừng lan xuống khu dân cư.,OK,HIGH
tZL17E37tGc,5,24.5,30.5,6.0,"Sau 3 ngày nắng nóng khắc nghiệt liên tục, có ngày nhiệt độ vượt lịch sử lên tới 49,6 độ C.","Sau 3 ngày nắng nóng khắc nghiệt liên tục, có ngày nhiệt độ vượt lịch sử lên tới 49,6 độ C.","Sau 3 ngày nắng nóng khắc nghiệt liên tục, có ngày nhiệt độ vượt lịch sử lên tới 49,6 độ C.",OK,HIGH
tZL17E37tGc,6,30.5,34.5,4.0,"Để chạy thoát khỏi biển lửa, nhiều người đã không kịp mang theo đồ đắng.","Để chạy thoát khỏi biển lửa, nhiều người đã không kịp mang theo đồ đắng.","Để chạy thoát khỏi biển lửa, nhiều người đã không kịp mang theo đồ đắng.",OK,HIGH
tZL17E37tGc,7,34.5,41.5,7.0,Rừng nhiệt đới Amazon đã ghi nhận nhiều vụ cháy rừng nhất trong tháng 6 vừa qua kể từ năm 2007 đến nay.,Rừng nhiệt đới Amazon đã ghi nhận nhiều vụ cháy rừng nhất trong tháng 6 vừa qua kể từ năm 2007 đến nay.,Rừng nhiệt đới Amazon đã ghi nhận nhiều vụ cháy rừng nhất trong tháng 6 vừa qua kể từ năm 2007 đến nay.,OK,HIGH
tZL17E37tGc,8,41.5,46.5,5.0,"Lên hơn 2.300 vụ cháy, tăng 2,6% so với cùng kỳ năm ngoái.","Lên hơn 2.300 vụ cháy, tăng 2,6% so với cùng kỳ năm ngoái.","Lên hơn 2.300 vụ cháy, tăng 2,6% so với cùng kỳ năm ngoái.",OK,HIGH
tZL17E37tGc,9,46.5,52.0,5.5,"Còn ở Việt Nam, cháy rừng trong tháng 6 năm nay đã tăng 10 vụ so với cùng thời điểm năm ngoái.","Còn ở Việt Nam, cháy rừng trong tháng 6 năm nay đã tăng 10 vụ so với cùng thời điểm năm ngoái.","Còn ở Việt Nam, cháy rừng trong tháng 6 năm nay đã tăng 10 vụ so với cùng thời điểm năm ngoái.",OK,HIGH
