id,start,end,duration,text_len,text,video_id
0,0.0,12.0,12.0,157,Ít nhất là 2 người thiệt mạng và 20 người còn đang mất tích sau vụ lở đất quét qua thành phố ven biển Atami nằm ở phía tây nam của thủ đô Tokyo của Nhật Bản.,zJ2wzGmaBt0
1,12.0,17.0,5.0,80,Chính phủ Nhật Bản đã ban bố cảnh báo ở mức cao nhất do nguy cơ xảy ra thảm họa.,zJ2wzGmaBt0
2,20.0,26.0,6.0,114,Mấy trăm cảnh sát và lực lực phòng vệ Nhật Bản cùng lính Y Hòa đang nỗ lực tìm kiếm những người còn đang mất tích.,zJ2wzGmaBt0
3,26.0,32.0,6.0,122,"Lực lượng bảo vệ bờ biển Nhật Bản cũng đang tìm kiếm tại một càng biển gần đó, nơi hai phụ nữ thiệt mạng đã được tìm thấy.",zJ2wzGmaBt0
4,32.0,36.0,4.0,65,Gần 400 người dân sinh sống trong khu vực đã được lệnh đi sơ tán.,zJ2wzGmaBt0
5,36.0,40.0,4.0,89,Những người chứng kiến cho biết họ chưa bao giờ thấy một trận lở đất nào lớn đến như vậy.,zJ2wzGmaBt0
6,43.0,46.0,3.0,50,"Khi chứng kiến những gì xảy ra, tôi chỉ muốn khóc.",zJ2wzGmaBt0
7,46.0,49.0,3.0,42,"Trước đây đã xảy ra những trận lở đất nhỏ,",zJ2wzGmaBt0
8,49.0,57.0,8.0,143,nhưng đây là lần đầu tiên chúng tôi gặp phải một thảm họa lớn đến như vậy mà cần đến sự giúp đỡ của lực lượng phòng vệ và cứu hỏa đến từ Tokyo.,zJ2wzGmaBt0
9,57.0,62.0,5.0,69,Mẹ tôi cũng nói chưa có trận lở đất nào lớn đến thế này xảy ra ở đây.,zJ2wzGmaBt0
10,64.0,74.0,10.0,214,Những hình ảnh đăng tải trên các phương tiện truyền thông cho thấy dòng nước đục ngầu kéo theo buồn đất đổ xuống từ đỉnh núi cao đã nhấn chìm nhà cửa cơ sở tầng phương tiện của thành phố nghỉ dưỡng nổi tiếng Atami.,zJ2wzGmaBt0
11,74.0,79.0,5.0,94,"Phụ lở đất xảy ra vào trưa ngày hôm qua, theo giới địa phương, sau nhiều ngày mưa lớn kéo dài.",zJ2wzGmaBt0
12,79.0,87.0,8.0,171,"Cơ quan Ký tượng Nhật Bản dự báo, mưa lớn vẫn sẽ còn tiếp tục diễn ra ở hầu hết các khu vực riêng hải, đồng thời cảnh báo người dân cảnh giác trước nguy cơ lũ lụt, lở đất.",zJ2wzGmaBt0
13,90.0,100.0,10.0,163,"Còn ở Canada, cùng với tình trạng hàng trăm người đột tử thì tình trạng nắng nóng kỷ lục và khô hạn kéo dài cũng đã khiến hàng trăm đám cháy rừng bùng phát dữ dội.",zJ2wzGmaBt0
14,100.0,103.0,3.0,58,Quân đội nước này đã được đặt trong tình trạng trực chiến.,zJ2wzGmaBt0
15,103.0,112.0,9.0,125,"Hơn 170 đám cháy lan rộng tại khu vực phía tây của tỉnh British Columbia, trong đó có 78 đám cháy đã bùng phát từ 2 ngày qua.",zJ2wzGmaBt0
16,112.0,116.0,4.0,54,Nguyên nhân ban đầu chủ yếu là do tình trạng xét đánh.,zJ2wzGmaBt0
17,116.0,120.0,4.0,66,Giới chức Canada cảnh báo 100.000 hectare rừng có thể bị đốt cháy.,zJ2wzGmaBt0
18,120.0,126.0,6.0,121,Lực lượng quân đội đã được chuẩn bị sẵn sàng hỗ trợ người dân đang phải chống trọi với tình trạng cháy rừng nghiên trọng.,zJ2wzGmaBt0
19,126.0,129.0,3.0,42,Hơn 1.300 hộ gia đình đã được lệnh sơ tán.,zJ2wzGmaBt0
20,130.0,136.0,6.0,66,Hãy đăng kí cho kênh lalaschool Để không bỏ lỡ những video hấp dẫn,zJ2wzGmaBt0
