video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
Y9_u0oOxQEU,0,0.0,12.0,12.0,"Bão số 10 có tên quốc tế là Goni hiện nay tiếp tục di chuyển chủ yếu theo hướng Tây, hướng về phía đất liền miền trung nước ta.","Bão số 10, có tên quốc tế là Goni, hiện đang di chuyển chủ yếu theo hướng Tây, tiến về phía đất liền miền Trung nước ta.","Bão số 10, có tên quốc tế là Goni, hiện đang di chuyển chủ yếu theo hướng Tây, tiến về phía đất liền miền Trung nước ta.",OK,HIGH
Y9_u0oOxQEU,1,12.0,19.0,7.0,"Sáng nay, Phó Thủ tướng Trịnh Đình Dũng đã chủ trì cuộc họp của Ban chỉ đạo Trung ương về phòng chống thiên tai để chủ động các biện pháp ứng phó.","Sáng nay, Phó Thủ tướng Trịnh Đình Dũng đã chủ trì cuộc họp của Ban Chỉ đạo Trung ương về phòng chống thiên tai nhằm chủ động triển khai các biện pháp ứng phó.","Sáng nay, Phó Thủ tướng Trịnh Đình Dũng đã chủ trì cuộc họp của Ban Chỉ đạo Trung ương về phòng chống thiên tai nhằm chủ động triển khai các biện pháp ứng phó.",OK,HIGH
Y9_u0oOxQEU,2,19.0,25.0,6.0,Bão số 10 được đánh giá là cơn bão khá phức tạp do có thêm các hình thế thời tiết khác tác động.,Bão số 10 được đánh giá là cơn bão phức tạp do có sự tác động của các hình thế thời tiết khác.,Bão số 10 được đánh giá là cơn bão phức tạp do có sự tác động của các hình thế thời tiết khác.,OK,HIGH
Y9_u0oOxQEU,3,25.0,30.0,5.0,"Theo dự báo, khi áp sát bờ thì có khả năng là bão số 10 sẽ giảm cường độ.","Theo dự báo, khi áp sát bờ, bão số 10 có khả năng sẽ giảm cường độ.","Theo dự báo, khi áp sát bờ, bão số 10 có khả năng sẽ giảm cường độ.",OK,HIGH
Y9_u0oOxQEU,4,30.0,34.0,4.0,"Tuy nhiên, nó vẫn sẽ gây mưa to, gió mạnh cho vùng ven biển.","Tuy nhiên, bão số 10 vẫn sẽ gây mưa to và gió mạnh cho vùng ven biển.","Tuy nhiên, nó vẫn sẽ gây mưa to, gió mạnh cho vùng ven biển.",REVERT,HIGH
Y9_u0oOxQEU,5,34.0,37.0,3.0,Nhiều tỉnh thành miền trung có thể có mưa lớn hàng trăm mm.,Nhiều tỉnh thành miền Trung có khả năng sẽ có mưa lớn lên tới hàng trăm mm.,Nhiều tỉnh thành miền Trung có khả năng sẽ có mưa lớn lên tới hàng trăm mm.,OK,HIGH
Y9_u0oOxQEU,6,37.0,43.0,6.0,"Bởi vậy, cần có phương án sơ tán dân ở những khu vực sung yếu, chưa khắc phục được song hậu quả mưa lũ,","Do đó, cần có phương án sơ tán dân ở những khu vực sung yếu, chưa khắc phục được hậu quả mưa lũ.","Do đó, cần có phương án sơ tán dân ở những khu vực sung yếu, chưa khắc phục được hậu quả mưa lũ.",OK,HIGH
Y9_u0oOxQEU,7,43.0,47.0,4.0,cũng như là những khu vực có cảnh báo về nguy cơ sản lợi cao.,"Cần có phương án sơ tán dân ở những khu vực sung yếu, chưa khắc phục được hậu quả mưa lũ, cũng như những khu vực có cảnh báo về nguy cơ sạt lở cao.",cũng như là những khu vực có cảnh báo về nguy cơ sản lợi cao.,REVERT,LOW
Y9_u0oOxQEU,8,47.0,53.0,6.0,"Phó Thủ tướng Trịnh Đình Dũng lưu ý cần tập trung lực lượng quyết liệt thực hiện phương châm 4 tại chỗ, tại các địa phương.",Phó Thủ tướng Trịnh Đình Dũng nhấn mạnh cần tập trung lực lượng quyết liệt thực hiện phương châm 4 tại chỗ tại các địa phương.,Phó Thủ tướng Trịnh Đình Dũng nhấn mạnh cần tập trung lực lượng quyết liệt thực hiện phương châm 4 tại chỗ tại các địa phương.,OK,HIGH
Y9_u0oOxQEU,9,55.0,62.0,7.0,"Đề nghị nhiệm vụ số 1 là chúng ta tập trung để ra soạn tàu thuyền trên biển,",Đề nghị nhiệm vụ số 1 là chúng ta cần tập trung vào việc di dời tàu thuyền trên biển về nơi trú ẩn an toàn hoặc ra khỏi khu vực nguy hiểm.,"Đề nghị nhiệm vụ số 1 là chúng ta tập trung để ra soạn tàu thuyền trên biển,",REVERT,LOW
