video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
m6lLLv7luzc,0,0.0,10.0,10.0,"Và bây giờ sẽ là những thông tin chi tiết, xin được gửi đến quý vị những hình ảnh kinh hoàng về vụ sạt lở tại xã Trà Tân, huyện Nam Trà My, Quảng Nam","Xin được gửi đến quý vị những hình ảnh kinh hoàng về vụ sạt lở xảy ra tại xã Trà Tân, huyện Nam Trà My, Quảng Nam vào đầu giờ chiều nay.","Và bây giờ sẽ là những thông tin chi tiết, xin được gửi đến quý vị những hình ảnh kinh hoàng về vụ sạt lở tại xã Trà Tân, huyện Nam Trà My, Quảng Nam",REVERT,HIGH
m6lLLv7luzc,1,10.0,13.0,3.0,đã được phóng viên tình cờ ghi lại vào đầu giờ chiều nay.,"Vụ sạt lở tại xã Trà Tân, huyện Nam Trà My, Quảng Nam đã được phóng viên ghi lại vào đầu giờ chiều nay.",đã được phóng viên tình cờ ghi lại vào đầu giờ chiều nay.,REVERT,HIGH
m6lLLv7luzc,2,13.0,20.0,7.0,"Khoảng 14h trên cúc lộ 40B, đoạn não tại xã Trà Tân gần đập thủy điện sông Chanh Hai.","Khoảng 14h hôm nay, trên quốc lộ 40B, đoạn qua xã Trà Tân, gần đập thủy điện Sông Chanh Hai, đã xảy ra vụ sạt lở nghiêm trọng.","Khoảng 14h trên cúc lộ 40B, đoạn não tại xã Trà Tân gần đập thủy điện sông Chanh Hai.",REVERT,LOW
m6lLLv7luzc,3,20.0,27.0,7.0,Đoàn chở hàng thiện nguyện cho huyện Nam Trà My trên đường về đoàn có 4 người thì sạt lở bất ngờ xảy ra.,"Đoàn chở hàng thiện nguyện cho huyện Nam Trà My, gồm 4 người, đã gặp phải sạt lở bất ngờ khi đang trên đường về.","Đoàn chở hàng thiện nguyện cho huyện Nam Trà My, gồm 4 người, đã gặp phải sạt lở bất ngờ khi đang trên đường về.",OK,HIGH
m6lLLv7luzc,4,27.0,31.0,4.0,"Dù nhiều người đã hô cảnh báo khi xảy ra sạt, nhưng một người đã bị vùi lấp.","Dù nhiều người đã hô cảnh báo khi xảy ra sạt lở, nhưng một người đã bị vùi lấp.","Dù nhiều người đã hô cảnh báo khi xảy ra sạt lở, nhưng một người đã bị vùi lấp.",OK,HIGH
m6lLLv7luzc,5,31.0,37.0,6.0,"Đó là ông Quỳnh Văn Hạ, 52 tuổi, ở tổ 20-4, Bình Giang, huyện Thăng Bình.","Ông Quỳnh Văn Hạ, 52 tuổi, ở tổ 20-4, Bình Giang, huyện Thăng Bình, đã bị vùi lấp trong vụ sạt lở xảy ra tại xã Trà Tân, huyện Nam Trà My, Quảng Nam.","Đó là ông Quỳnh Văn Hạ, 52 tuổi, ở tổ 20-4, Bình Giang, huyện Thăng Bình.",REVERT,HIGH
m6lLLv7luzc,6,37.0,44.0,7.0,"Ngoài ra, một người đi xe máy bị thương, gãy hai chân, đã được kéo ra khỏi huyện trường và hiện đang được cấp cứu ở bệnh viện Trà My.","Một người đi xe máy bị thương, gãy hai chân, đã được cứu ra khỏi hiện trường và hiện đang được cấp cứu tại bệnh viện Trà My.","Một người đi xe máy bị thương, gãy hai chân, đã được cứu ra khỏi hiện trường và hiện đang được cấp cứu tại bệnh viện Trà My.",OK,HIGH
m6lLLv7luzc,7,44.0,47.0,3.0,Lực lượng cứu hộ đang tiếp tục tìm kiếm nạn nhật.,Lực lượng cứu hộ đang tiếp tục tìm kiếm nạn nhân.,Lực lượng cứu hộ đang tiếp tục tìm kiếm nạn nhân.,OK,HIGH
m6lLLv7luzc,8,47.0,59.0,12.0,"Mưa lớn trong vòng 24 giờ qua và nhiều thủy điện xả lũ đã khiến cho mực nước các sông ở Thừa Thiên Huế lên nhanh,","Mưa lớn trong 24 giờ qua và nhiều thủy điện xả lũ đã làm mực nước các sông ở Thừa Thiên Huế dâng cao nhanh chóng, gây ngập cục bộ nhiều tuyến đường và khu dân cư.","Mưa lớn trong vòng 24 giờ qua và nhiều thủy điện xả lũ đã khiến cho mực nước các sông ở Thừa Thiên Huế lên nhanh,",REVERT,MEDIUM
m6lLLv7luzc,9,59.0,62.0,3.0,gây ngập cục bộ nhiều tuyến đường và khu dân cư.,"Mưa lớn trong vòng 24 giờ qua và nhiều thủy điện xả lũ đã khiến mực nước các sông ở Thừa Thiên Huế lên nhanh, gây ngập cục bộ nhiều tuyến đường và khu dân cư.",gây ngập cục bộ nhiều tuyến đường và khu dân cư.,REVERT,HIGH
