id,start,end,duration,text_len,text,video_id
0,0.0,7.0,7.0,133,"Còn bây giờ sẽ là những thông tin dự báo thời tiết. Anh Tùng, áp thấp nhiệt đới nghe nói là mưa to gió lớn. Thông tin cụ thể thế nào?",FMunmDF5uVU
1,7.0,12.0,5.0,101,"Dạ vâng, cái tác động của áp thấp nhiệt đới lần này thì chủ yếu là sẽ gây mưa cho khu vực trung bộ ạ.",FMunmDF5uVU
2,12.0,16.0,4.0,102,Bây giờ xin mời anh Tuấn Dương cũng như là quý vị khán giả sẽ cùng theo dõi cái ảnh mây vệ tinh này ạ.,FMunmDF5uVU
3,16.0,22.0,6.0,124,Ở đây quý vị có thể thấy là cả một cái vùng mây phía trước của áp thấp nhiệt đới thì hiện nay cũng đã trờm vào đất liền rồi.,FMunmDF5uVU
4,22.0,24.0,2.0,36,Khu vực từ Bình Định đến Bình Thuận.,FMunmDF5uVU
5,24.0,30.0,6.0,103,Và dự báo là đêm nay thì áp thấp nhiệt đới sẽ đi vào đất liền các tỉnh từ Khánh Hòa cho đến Bình Thuận.,FMunmDF5uVU
6,30.0,33.0,3.0,46,Với một sức gió mạnh nhất là cấp 6 giật cấp 8.,FMunmDF5uVU
7,33.0,38.0,5.0,91,Từ đêm nay thì mưa sẽ tăng dần lên ở khu vực Bình Định đến Ninh Thuận và cả Nam Tây Nguyên.,FMunmDF5uVU
8,38.0,42.0,4.0,67,Và trong đó thì sẽ có những nơi lượng mưa có thể là vượt qua 250mm.,FMunmDF5uVU
9,42.0,49.0,7.0,124,"Với lượng mưa dự báo như thế thì từ nay cho đến thứ 5, nhiều sông ở khu vực trung bộ sẽ lên ở mức báo động 1 đến báo động 2.",FMunmDF5uVU
10,49.0,58.0,9.0,141,"Đặc biệt là sông Côn ở Bình Định, sông Kỳ Lộ ở Phú Yên, sông Dinh Ninh Hòa Khánh Hòa, sông Cái Phan Rang ở Ninh Thuận, sông La Ngà Bình Thuận",FMunmDF5uVU
11,58.0,67.0,9.0,144,và thượng lưu sông Đồng Nai cũng như các sông ở khu vực Nam Tây Nguyên thì sẽ lên ở mức báo động 2 đến báo động 3 và có sông là trên báo động 3.,FMunmDF5uVU
12,67.0,73.0,6.0,110,Bà con sinh sống quanh các lưu vực sông đang được cảnh báo thì tuyệt đối là không đánh cá vớt củi ở trên sông.,FMunmDF5uVU
13,73.0,77.0,4.0,63,Không đi qua các ngầm tràn khi nước đang chảy siết và đang lên.,FMunmDF5uVU
14,77.0,84.0,7.0,123,Trong các đợt mưa lũ trước đây thì đã từng có những người bị tử vong và mất tích khi đi qua ngầm tràn và bị nước cuốn trôi.,FMunmDF5uVU
15,84.0,90.0,6.0,118,Còn bây giờ chúng tôi sẽ được cập nhật những thông tin dự báo chi tiết cho một số thành phố trong đêm nay và ngày mai.,FMunmDF5uVU
16,90.0,95.0,5.0,110,Với thành phố Nha Trang thì đây là một trong những nơi chịu ảnh hưởng trực tiếp của áp thấp nhiệt đới đêm nay.,FMunmDF5uVU
17,95.0,104.0,9.0,114,"Mưa lớn 23 độ, ngày mai thì mưa vừa mưa to, có gió mạnh cấp 6, giật cấp 7, cấp 8, nhiệt độ tăng lên đến mức 28 độ.",FMunmDF5uVU
18,104.0,111.0,7.0,88,"Thủ đô Hà Nội đêm nay trời lạnh 20 độ, sáng sớm sẽ có sương mù, từ trưa trời nắng 28 độ.",FMunmDF5uVU
19,112.0,120.0,8.0,108,"Thành phố Hồ Chí Minh đêm nay có mưa rào và rông, có lúc mưa vừa mưa to 24 độ, ngày mai nắng rán đoạn 31 độ.",FMunmDF5uVU
