id,start,end,duration,text_len,text,video_id
0,0.0,6.0,6.0,108,Bây giờ chúng ta cùng tiếp tục chương trình với những thông tin thời tiết cùng với biên tập viên Hương Liên.,YBWH02_klQM
1,6.0,10.0,4.0,104,"Chị Hương Liên này, chiều nay Hà Nội và các tỉnh Thành Lân cận có xảy ra mưa như ngày hôm qua không chị?",YBWH02_klQM
2,10.0,16.0,6.0,130,"Vâng anh Dũng, ít nhất là giờ tan tầm ngày hôm nay thì chúng ta sẽ không phải chứng kiến cảnh mưa gió ngập úng như là hôm qua nữa.",YBWH02_klQM
3,16.0,24.0,8.0,117,"Bởi vì quan sát trên ảnh mây vệ tinh thì ổ dông chiều nay ở Hòa Bình, Phú Thọ, phía Tây Hà Nội đã nhanh chóng tan đi.",YBWH02_klQM
4,24.0,28.0,4.0,70,Cơn mưa tiếp theo có thể sẽ quay trở lại vào ban đêm ở khu vực Bắc Bộ.,YBWH02_klQM
5,28.0,34.0,6.0,109,"Ngay trên khu vực này vẫn tồn tại một vùng hội tụ gió, lượng mưa đêm nay sẽ không lớn và dồn dập như hôm qua.",YBWH02_klQM
6,34.0,39.0,5.0,76,Mặc dù có mưa về đêm như vậy nhưng sang đến ngày mai trở lại nắng nóng ngay.,YBWH02_klQM
7,39.0,44.0,5.0,57,Dự báo khắp Bắc Bộ vẫn nằm trong vùng nhiệt cao 35-37 độ.,YBWH02_klQM
8,44.0,50.0,6.0,93,"Còn ở miền trung, nơi hiệu ứng gió phơn xảy ra mạnh mẽ, cường độ nắng nóng cũng ngay gắt hơn.",YBWH02_klQM
9,50.0,58.0,8.0,103,"Từ Núi, từ Nghệ An xuống đến Quảng Ngãi, dự báo ngày mai nhiệt độ sẽ cao 37-39 độ và có nơi trên 39 độ.",YBWH02_klQM
10,58.0,64.0,6.0,67,Các nơi khác thuộc khu vực Thanh Hóa đến Phú Yên sẽ là từ 35-37 độ.,YBWH02_klQM
11,64.0,68.0,4.0,67,Tây Nguyên và Nam Bộ lại đang giảm nóng do mưa xuất hiện nhiều lên.,YBWH02_klQM
12,68.0,77.0,9.0,140,"Dự báo chưa chiều mai, cả hai khu vực này sẽ có mưa rông rải rác, cảnh báo mưa vừa mưa to, lốc xét và gió giật mạnh có thể xuất hiện cục bộ.",YBWH02_klQM
13,77.0,81.0,4.0,68,Còn bây giờ sẽ là phần dự báo thời tiết trong một số thành phố khác.,YBWH02_klQM
14,81.0,89.0,8.0,128,"Thành phố Hồ Chí Minh đêm nay không mưa 27 độ, ngày mai khu vực trung tâm thành phố vẫn còn nắng nóng 35 độ, chiều tối mưa rông.",YBWH02_klQM
15,89.0,95.0,6.0,90,"Thành phố Đà Lạt đêm nay không mưa 17 độ, ngày mai trời nắng 25 độ, chiều tối có mưa rông.",YBWH02_klQM
16,95.0,101.0,6.0,82,"Thủ đô Hà Nội đêm nay có lúc có mưa trời mát 27 độ, ngày mai trời nắng nóng 36 độ.",YBWH02_klQM
17,107.0,111.0,4.0,69,Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,YBWH02_klQM
