id,start,end,duration,text_len,text,video_id
0,0.0,14.0,14.0,154,"Những cơn mưa lớn kéo dài 2 ngày giữa tuần qua tại các nước Đức, Bỉ, Hà Lan và Luxembourg đã làm cho nhiều dòng sông tràn bờ gây lụt lội ở trên diện rộng.",QC5nRKyWI7k
1,14.0,20.0,6.0,79,Và thống kê cho đến trưa nay thì có 153 người chết và hơn 1.000 người mất tích.,QC5nRKyWI7k
2,20.0,22.0,2.0,36,Nước Đức chịu thể thại nặng nề nhất.,QC5nRKyWI7k
3,22.0,28.0,6.0,130,Và chúng tôi đang kết nối trực tiếp với phóng viên Lê Hồng Quang là phóng viên thường trúi truyền hình Việt Nam tại Vương quốc Bỉ.,QC5nRKyWI7k
4,28.0,32.0,4.0,60,Xin chào anh Hồng Quang. Tình hình tại Bỉ hiện nay ra sao ạ?,QC5nRKyWI7k
5,58.0,84.0,26.0,75,Vâng vậy còn tình hình tại các nước lân cận với cả Vương quốc Bỉ thì sao ạ?,QC5nRKyWI7k
6,89.0,92.0,3.0,66,Cái đợt mưa lũ 3 ngày vừa rồi gây cái thiệt hại lớn nhất là ở Đức.,QC5nRKyWI7k
7,92.0,98.0,6.0,72,Trong tổng số 153 người thiệt mạng lúc này thì là có tới 133 là tại Đức.,QC5nRKyWI7k
8,98.0,100.0,2.0,51,Thế ngoài ra còn có hơn 600 người Đức đã bị thương.,QC5nRKyWI7k
9,100.0,106.0,6.0,89,Vào thời điểm tối hôm qua thì ước tính là còn khoảng 40 cho đến 60 người Đức bị mất tích.,QC5nRKyWI7k
10,106.0,109.0,3.0,47,Thiệt hại ở Đức rất là lớn do là có sút lở đất.,QC5nRKyWI7k
11,109.0,115.0,6.0,122,Hiện nay thì còn rất là nhiều cung đường bị chặn bởi vì là nước ngập hoặc là không đủ an toàn người ta không cho qua được.,QC5nRKyWI7k
12,116.0,121.0,5.0,108,Nước Đức thì đã điều động quân đội tới trợ giúp lực lượng cứu hộ ở những thành phố làng mạc đã bị ngập nước.,QC5nRKyWI7k
13,121.0,126.0,5.0,85,"Rồi họ tập trung tìm kiếm nạn nhân, dọn dẹp cây cối ngã đổ hay là xe cộ bị nước cuốn.",QC5nRKyWI7k
14,127.0,129.0,2.0,35,Mực nước xung quanh vẫn rất là cao.,QC5nRKyWI7k
15,129.0,133.0,4.0,67,Đêm hôm qua có 700 người Đức đã phải sơ tán do nguy cơ vỡ đập nước.,QC5nRKyWI7k
16,136.0,137.0,1.0,29,Xin cảm ơn anh Lê Hùng Quang.,QC5nRKyWI7k
17,138.0,143.0,5.0,102,"Thưa quý vị, lũ lụt ven biển đang trở thành một vấn đề cấp bách hơn nhiều so với các dự báo trước đây.",QC5nRKyWI7k
18,143.0,149.0,6.0,106,Đây là cảnh báo được Cơ quan Hàng không Vũ trụ Mỹ NASA đưa ra dựa trên nghiên cứu mới đây của tổ chức này.,QC5nRKyWI7k
19,149.0,156.0,7.0,110,Các nhà khoa học NASA dự báo là các thành phố dọc ven biển sẽ gánh chịu các đợt lũ lụt tồi tệ thường xuyên hơn,QC5nRKyWI7k
20,156.0,161.0,5.0,83,"và xảy ra ngay trong thập kỷ tới, sớm hơn khoảng 70 năm so với các dự báo trước đó.",QC5nRKyWI7k
21,161.0,166.0,5.0,79,"Thay vì gánh chịu 2 hoặc 3 trận lũ lụt mỗi tháng trong mùa mưa lũ như hiện nay,",QC5nRKyWI7k
22,166.0,171.0,5.0,82,thì các khu vực ven biển có thể là phải đối mặt với hàng chục trận lũ lụt trở lên.,QC5nRKyWI7k
23,171.0,175.0,4.0,68,Điều này sẽ gây gián đoạn lớn đến cuộc sống và sinh kế của người dân,QC5nRKyWI7k
24,175.0,180.0,5.0,79,nếu các cộng đồng không bắt đầu lập kế hoạch đối phó với chúng ngay từ bây giờ.,QC5nRKyWI7k
25,180.0,185.0,5.0,83,Đáng lo ngại là các quốc gia nhiệt đới sẽ dễ bị ảnh hưởng do ngập lụt ven biển hơn.,QC5nRKyWI7k
26,185.0,189.0,4.0,51,Mà một phần 3 trong số này là nằm ở khu vực châu Á.,QC5nRKyWI7k
