id,start,end,duration,text_len,text,video_id
0,0.0,3.0,3.0,51,Còn bây giờ sẽ là những thông tin dự báo thời tiết.,gq-DUH55tgo
1,3.0,7.0,4.0,84,"Chị Hương Liên, nhìn bộ quần áo của chị mặc hôm nay là biết là trời mát mẻ rồi đó ạ.",gq-DUH55tgo
2,7.0,10.0,3.0,68,Bình thường mà trời nắng nóng là sẽ không mặc bộ quần áo đỏ này đâu.,gq-DUH55tgo
3,10.0,13.0,3.0,64,Không biết là tối nay và đêm nay thì thời tiết ở Hà Nội thế nào?,gq-DUH55tgo
4,13.0,17.0,4.0,74,"Vâng anh Dương, mưa mát sẽ còn duy trì trong cả tối và đêm nay ở miền Bắc.",gq-DUH55tgo
5,17.0,21.0,4.0,77,Hiện tại trên ảnh mây vệ tinh thì mây rông vẫn đang bao phủ nhiều tỉnh thành.,gq-DUH55tgo
6,21.0,24.0,3.0,61,Một số nơi vùng núi và ven biển thì đang có mưa rào nặng hạt.,gq-DUH55tgo
7,24.0,28.0,4.0,64,Dự báo trong tối và đêm nay thì mưa sẽ xảy ra hầu khắp miền Bắc.,gq-DUH55tgo
8,28.0,35.0,7.0,95,"Nhiều điểm còn có mưa vừa mưa to, thậm chí có nơi mưa rất to tương ứng với màu xanh lá cây này.",gq-DUH55tgo
9,35.0,37.0,2.0,27,Lượng có thể lên đến 100mm.,gq-DUH55tgo
10,37.0,42.0,5.0,92,"Vùng núi còn mưa lớn thì quý vị vẫn cần cảnh giác đến lũ quét, sạt lở đất và ngập úm cục bộ.",gq-DUH55tgo
11,42.0,46.0,4.0,60,Nhất là các tỉnh nằm trong vùng cảnh báo nguy cơ cao xảy ra.,gq-DUH55tgo
12,47.0,56.0,9.0,138,"Đó là Lai Châu, Điện Biên, Sơn La, Lào Cai, Yên Bái, Hà Giang, Tuyên Quang, Bắc Cạn, Cao Bằng, Thái Nguyên, Hòa Bình, Bắc Giang, Lạng Sơn.",gq-DUH55tgo
13,56.0,61.0,5.0,82,"Mưa nhiều về đêm, đến ngày mai trời miền Bắc đan xen có khoảng tạnh ráo nhiều mây,",gq-DUH55tgo
14,61.0,67.0,6.0,77,nhiệt độ cao nhất tại thủ đô Hà Nội và nhiều thành phố trong khoảng 30-32 độ.,gq-DUH55tgo
15,67.0,72.0,5.0,47,Riêng Hà Giang và Ninh Bình sẽ oi bức 33-34 độ.,gq-DUH55tgo
16,72.0,76.0,4.0,79,Cuối cùng sẽ là dự báo chi tiết cho một số thành phố trong đêm nay và ngày mai.,gq-DUH55tgo
17,76.0,79.0,3.0,44,Hải Phòng đêm nay có mưa rào trời mát 27 độ.,gq-DUH55tgo
18,79.0,83.0,4.0,55,Ngày mai trời lúc mưa lúc nắng nhiệt độ cao nhất 32 độ.,gq-DUH55tgo
19,83.0,87.0,4.0,63,"Đà Nẵng dự báo đêm nay trời tạnh ráo, nhiệt độ thấp nhất 28 độ.",gq-DUH55tgo
20,87.0,90.0,3.0,37,Ngày mai vẫn nắng nóng gai gắt 38 độ.,gq-DUH55tgo
21,90.0,93.0,3.0,43,TP.HCM đêm nay sẽ không mưa trời mát 26 độ.,gq-DUH55tgo
22,93.0,98.0,5.0,71,"Ngày mai trời nắng từ sáng đến chiều khá nóng, nhiệt độ cao nhất 34 độ.",gq-DUH55tgo
23,98.0,100.0,2.0,29,Chiều tối mưa rào thoáng qua.,gq-DUH55tgo
24,102.0,104.0,2.0,69,Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,gq-DUH55tgo
