id,start,end,duration,text_len,text,video_id
0,0.0,5.0,5.0,80,"Bây giờ là 18h, Việt Nam hôm nay sẽ tiếp tục với những tin tức thời sự cập nhật.",QQ9vRlBdfJY
1,5.0,9.0,4.0,67,"Dự báo thời tiết những ngày tới có thể mưa rất to nên ngày hôm nay,",QQ9vRlBdfJY
2,9.0,13.0,4.0,68,"Ban chỉ đạo cứu nạn tại Thủy điện Rao Chang Ba đã huy động tổng lực,",QQ9vRlBdfJY
3,13.0,16.0,3.0,50,lực lượng và phương tiện để tìm kiếm các nạn nhân.,QQ9vRlBdfJY
4,16.0,21.0,5.0,91,Hàng trăm cán bộ chiến sĩ và các lực lượng khác cùng với các loại máy co giới công suất lớn,QQ9vRlBdfJY
5,21.0,23.0,2.0,36,"tìm kiếm nhiều hướng, nhiều khu vực.",QQ9vRlBdfJY
6,23.0,27.0,4.0,73,Đến 17h ngày hôm nay vẫn chưa có thêm thi thể nạn nhân nào được tìm thấy.,QQ9vRlBdfJY
7,27.0,31.0,4.0,76,"Tuy nhiên trong quá trình tìm kiếm đã phát hiện được một số hiện vật như áo,",QQ9vRlBdfJY
8,31.0,35.0,4.0,45,"quần, chăn, gối, trụ nhà, tường nhà, kèo nhà.",QQ9vRlBdfJY
9,35.0,40.0,5.0,100,"Trong những ngày tới, lực lượng cứu hộ sẽ phải tận dụng từng giây, từng phút chạy đùa với thời tiết.",QQ9vRlBdfJY
10,40.0,43.0,3.0,54,Nếu mưa xuống không chỉ gây khó khăn cho việc tìm kiếm,QQ9vRlBdfJY
11,43.0,46.0,3.0,57,mà còn gây nguy hiểm cho các lực lượng đang làm nhiệm vụ.,QQ9vRlBdfJY
12,57.0,60.0,3.0,69,Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,QQ9vRlBdfJY
