id,start,end,duration,text_len,text,video_id
0,0.0,8.0,8.0,122,"Gần một tuần sau khi bão tuyết quét qua, cuộc sống của cộng đồng người Việt Nam tại bang Texas đã dần trở lại bình thường.",Vpk5Qkv5toQ
1,8.0,12.0,4.0,65,"Điện, nước đã có trở lại, các hàng quán, công ty cũng dần mở cửa.",Vpk5Qkv5toQ
2,12.0,18.0,6.0,113,"Nhưng tại nhiều hộ gia đình người Việt, hệ thống đường ống nước đã bị hư hại, khiến cho họ không có nước sử dụng.",Vpk5Qkv5toQ
3,18.0,26.0,8.0,149,"Trước tình hình đó, cộng đồng người Việt tại đây đã có các hoạt động hỗ trợ, góp công sức và thời gian để giúp nhau vượt qua những ngày khó khăn này.",Vpk5Qkv5toQ
4,27.0,33.0,6.0,92,"Do ảnh hưởng của cơn bão tuyết, chân trong phòng vệ sinh của gia đình anh Phương bị sập mái.",Vpk5Qkv5toQ
5,33.0,37.0,4.0,74,Nhà có trẻ nhỏ nên việc thiếu nước gây khá nhiều bất tiện trong cuộc sống.,Vpk5Qkv5toQ
6,37.0,41.0,4.0,82,"Chỉ trong vài ngày, anh Phương đã nhận được sự hỗ trợ để khắc phục đường ống nước.",Vpk5Qkv5toQ
7,56.0,60.0,4.0,110,"Sẵn kinh nghiệm trong ngành xây dựng, khi nhìn thấy những khó khăn của cộng đồng người Việt sau cơn bão tuyết,",Vpk5Qkv5toQ
8,60.0,66.0,6.0,113,"anh Đạt cùng một số người bạn của mình đã đăng lời nhận hỗ trợ sửa nhà, sửa đường ống nước trên Facebook cá nhân.",Vpk5Qkv5toQ
9,66.0,71.0,5.0,82,"Chỉ trong vòng một thời gian ngắn, bài đăng của anh nhận được sự chia sẻ rộng rãi.",Vpk5Qkv5toQ
10,86.0,90.0,4.0,104,"Chỉ trong vài ngày, anh Phương đã nhận được sự hỗ trợ để khắc phục đường ống nước trên Facebook cá nhân.",Vpk5Qkv5toQ
11,90.0,94.0,4.0,110,"Sẵn kinh nghiệm trong ngành xây dựng, khi nhìn thấy những khó khăn của cộng đồng người Việt sau cơn bão tuyết,",Vpk5Qkv5toQ
12,94.0,98.0,4.0,113,"anh Đạt cùng một số người bạn của mình đã đăng lời nhận hỗ trợ sửa nhà, sửa đường ống nước trên Facebook cá nhân.",Vpk5Qkv5toQ
13,98.0,102.0,4.0,82,"Chỉ trong vòng một thời gian ngắn, bài đăng của anh nhận được sự chia sẻ rộng rãi.",Vpk5Qkv5toQ
14,102.0,106.0,4.0,110,"Sẵn kinh nghiệm trong ngành xây dựng, khi nhìn thấy những khó khăn của cộng đồng người Việt sau cơn bão tuyết,",Vpk5Qkv5toQ
15,106.0,121.0,15.0,84,"Những ngày sau bão, đường vẫn ngập trong băng tuyết, do đó việc đi lại rất khó khăn.",Vpk5Qkv5toQ
16,121.0,126.0,5.0,105,Nhóm của anh Đạt phải đi với tốc độ chậm nên việc di chuyển từ nhà này sang nhà khác mất nhiều thời gian.,Vpk5Qkv5toQ
17,126.0,131.0,5.0,84,"Bên cạnh đó, việc khăn hiếm phần liệu xây dựng do nhu cầu sửa chữa tăng cao sau bão.",Vpk5Qkv5toQ
18,131.0,134.0,3.0,54,"Tuy nhiên, các anh em trong nhóm vẫn cố gắng tìm cách.",Vpk5Qkv5toQ
19,134.0,139.0,5.0,91,"Sau bốn ngày, nhóm của anh Đạt đã hỗ trợ sửa chữa, giúp được hơn 25 hộ gia đình người Việt.",Vpk5Qkv5toQ
20,139.0,143.0,4.0,56,Ai cũng góp tay để hỗ trợ cộng đồng người Việt mình hết.,Vpk5Qkv5toQ
21,143.0,147.0,4.0,59,"Thì mình đã có ngày construction, xây nhà, sửa nhà sẵn rồi.",Vpk5Qkv5toQ
22,147.0,149.0,2.0,40,Thì mình biết sửa những cái ống nước đó.,Vpk5Qkv5toQ
23,149.0,156.0,7.0,73,Thì mình chạy đến để giúp đỡ mọi người và góp chút sức nhỏ của mình thôi.,Vpk5Qkv5toQ
24,165.0,169.0,4.0,91,"Trong những thời khắc khó khăn, tinh thần đùm bọc của người Việt Nam lại càng được phát huy",Vpk5Qkv5toQ
25,169.0,173.0,4.0,91,và còn nhiều hoạt động hỗ trợ khác đang được cộng đồng người Việt Nam tại TechSap thực hiện,Vpk5Qkv5toQ
26,173.0,176.0,3.0,44,để cùng nhau vượt qua hậu quả của thiên tài.,Vpk5Qkv5toQ
