id,start,end,duration,text_len,text,video_id
0,0.0,7.0,7.0,96,"Thưa quý vị, từ tuyết đến giờ thì thời tiết miền Bắc gần như là đã chuyển sang trạng thái ấm áp.",IOqlbYST-5k
1,7.0,12.0,5.0,103,Vậy đây có phải là những dấu hiệu cho thấy rằng thời tiết đã thực sự chuyển từ lạnh sang nóng hay chưa?,IOqlbYST-5k
2,12.0,16.0,4.0,99,Chúng ta sẽ cùng chờ đợi những thông tin cập nhật đến từ phóng viên Xuân Anh. Xin mời chị Xuân Anh.,IOqlbYST-5k
3,16.0,23.0,7.0,134,"Vâng anh Dương thưa quý vị, đúng là miền Bắc của chúng ta thì đang dần là bước sang mùa nóng và kết thúc những ngày đông lạnh giá rồi.",IOqlbYST-5k
4,23.0,27.0,4.0,96,"Và khi mà thời tiết thay đổi thì thiên nhiên cũng có những cái sự chuyển mình, mùa nào thức đấy.",IOqlbYST-5k
5,27.0,30.0,3.0,79,Chúng ta cũng có thể thấy là hôm nay thì tôi có những cái nhành hoa bưởi ở đây.,IOqlbYST-5k
6,30.0,36.0,6.0,122,Hoa bưởi thì có một cái vẻ đẹp rất là riêng và cái mùi thơm của nó thì rất là đặc trưng cho cái giai đoạn thủ đô giao mùa.,IOqlbYST-5k
7,36.0,41.0,5.0,93,"Hôm nay thì tôi cũng muốn tặng anh Dương, để anh Dương có thể để ở một góc làm việc của mình.",IOqlbYST-5k
8,41.0,46.0,5.0,110,Tôi nghĩ rằng cái hương hoa bưởi thực sự là cái hương hoa rất đặc trưng của mùa xuân trong thời tiết giao mùa.,IOqlbYST-5k
9,46.0,52.0,6.0,136,Và tôi nghĩ rằng năm nay sẽ là một năm may mắn với tôi khi mà đầu xuân năm mới đã được chị tặng cho một nhành hoa bưởi thơm như thế này.,IOqlbYST-5k
10,52.0,57.0,5.0,113,Vậy thì không biết là những cái hương hoa cùng với sự thay đổi của thời tiết nó sẽ có sự liên quan gì đấy hả chị?,IOqlbYST-5k
11,57.0,63.0,6.0,120,"Vâng và anh Dương ạ, nếu như mà anh Dương cũng như quý vị khán giả mà đi đường có để ý thì không chỉ có là hoa bưởi đâu.",IOqlbYST-5k
12,63.0,67.0,4.0,65,Sẽ còn có nhiều những sắc hoa khác trong những ngày này ở thủ đô.,IOqlbYST-5k
13,67.0,73.0,6.0,88,"Đó là sắc tím, dịu nhẹ của loài hoa ban phổ biến có thể thấy là ở khu vực đường Bắc Sơn.",IOqlbYST-5k
14,73.0,78.0,5.0,81,Hay là sắc đỏ của những trôi non lộc vùng có thể thấy quanh khu vực Hồ Hoàn Kiếm.,IOqlbYST-5k
15,78.0,83.0,5.0,83,Bên cạnh đó còn là vẻ tinh khôi của loài hoa xưa trên khu vực đường Thanh Niên nữa.,IOqlbYST-5k
16,83.0,90.0,7.0,114,Tất cả những loài hoa này đều là những loài hoa báo hiệu rằng là thời tiết đang chuyển dần sang giai đoạn xuân hè.,IOqlbYST-5k
17,90.0,98.0,8.0,109,Cụ thể về thời tiết tại thủ đô Hà Nội thì dự báo là trời sẽ còn tiếp tục ấm áp từ nay cho tới tận cuối tháng.,IOqlbYST-5k
18,98.0,105.0,7.0,108,"Và đặc biệt là trong 2 ngày tới đây thì trời nắng nhiều, nhiệt độ vào buổi trưa còn có thể lên mức là 27 độ.",IOqlbYST-5k
19,105.0,113.0,8.0,112,Sau đó đến cuối tuần nhiệt độ có phần giảm nhẹ do là tiết trời nhiều mây và 1 hôm thì lại còn có cả mưa nhỏ nữa.,IOqlbYST-5k
20,113.0,116.0,3.0,43,Chuyển sang thời tiết tại khu vực phía Nam.,IOqlbYST-5k
21,116.0,120.0,4.0,64,Tại Nam Bộ thì những ngày cuối tháng 2 này trời sẽ còn nóng hơn.,IOqlbYST-5k
22,120.0,127.0,7.0,118,"Ví dụ như là tại thành phố Hồ Chí Minh, trong cả 5 ngày tới thì mức nhiệt cao nhất ra động từ 33 cho tới mức là 34 độ.",IOqlbYST-5k
23,127.0,131.0,4.0,53,"Có 1 ngày còn lên tới là 35 độ, đây là mức nắng nóng.",IOqlbYST-5k
24,131.0,136.0,5.0,100,Cuối cùng thì tôi sẽ gửi tới quý vị những thông tin dự báo chi tiết cho 1 số thành phố trên cả nước.,IOqlbYST-5k
25,136.0,142.0,6.0,93,"Đối với thành phố Hải Phòng vào đêm nay và sáng mai thì sẽ không có mưa, trời sương mù 18 độ.",IOqlbYST-5k
26,142.0,147.0,5.0,67,"Trưa chiều mai trời nắng, nhiệt độ tăng lên, mức cao nhất là 26 độ.",IOqlbYST-5k
27,147.0,151.0,4.0,50,Đà Nẵng đêm nay cũng tạnh giáo và trời lạnh 18 độ.,IOqlbYST-5k
28,151.0,156.0,5.0,51,"Ngày mai nắng đẹp cả ngày, nhiệt độ cao nhất 27 độ.",IOqlbYST-5k
29,156.0,159.0,3.0,29,Đà Lạt đêm nay rất sâu 13 độ.,IOqlbYST-5k
30,159.0,164.0,5.0,76,"Ngày mai nắng nhiều, nhiệt độ cao hơn ban đêm cả chục độ, lên tới mức 26 độ.",IOqlbYST-5k
