video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
NTTgihBWFoQ,0,0.0,7.0,7.0,"Ba ngày nay, nhiều người dân ở tỉnh Quảng Trị vẫn đang sống trong tình cảnh ngập lụt, thiếu nước uống, lương thực, thực phẩm.","Trong ba ngày qua, nhiều người dân ở tỉnh Quảng Trị vẫn đang sống trong tình cảnh ngập lụt, thiếu nước uống, lương thực và thực phẩm.","Trong ba ngày qua, nhiều người dân ở tỉnh Quảng Trị vẫn đang sống trong tình cảnh ngập lụt, thiếu nước uống, lương thực và thực phẩm.",OK,HIGH
NTTgihBWFoQ,1,7.0,12.0,5.0,"Lúa thì bị hư hại nhiều do ngập lụt, chăn nuôi ra xốp ra cầm thủy sản thì đều bị nước cuốn trôi.","Lúa bị hư hại nhiều do ngập lụt, trong khi chăn nuôi gia súc, gia cầm và thủy sản đều bị nước cuốn trôi.","Lúa bị hư hại nhiều do ngập lụt, trong khi chăn nuôi gia súc, gia cầm và thủy sản đều bị nước cuốn trôi.",OK,HIGH
NTTgihBWFoQ,2,12.0,15.0,3.0,Người dân Quảng Trị đang gặp vô vàn khó khăn.,"Người dân Quảng Trị đang phải đối mặt với nhiều khó khăn do tình trạng ngập lụt kéo dài, thiếu nước uống, lương thực và thực phẩm.",Người dân Quảng Trị đang gặp vô vàn khó khăn.,REVERT,HIGH
NTTgihBWFoQ,3,17.0,21.0,4.0,Bãi thốt ở vùng Càng thuộc huyền Hải Lăng với khoảng trên 300 hồ dân.,Bãi thốt ở vùng Càng thuộc huyện Hải Lăng có khoảng trên 300 hộ dân.,Bãi thốt ở vùng Càng thuộc huyện Hải Lăng có khoảng trên 300 hộ dân.,OK,HIGH
NTTgihBWFoQ,4,21.0,28.0,7.0,"Ba ngày nay, nhà người dân vẫn nằm sâu trong nước. Cuộc sống của người dân ở đây gặp rất nhiều khó khăn.","Ba ngày qua, nhiều người dân ở tỉnh Quảng Trị vẫn đang sống trong tình trạng ngập lụt, gặp rất nhiều khó khăn do thiếu nước uống, lương thực và thực phẩm.","Ba ngày nay, nhà người dân vẫn nằm sâu trong nước. Cuộc sống của người dân ở đây gặp rất nhiều khó khăn.",REVERT,HIGH
NTTgihBWFoQ,5,31.0,43.0,12.0,"Huyền Hải Lăng có gần 17 ngàn ngôi nhà bị ngập, nhiều nhất tỉnh Quảng Trị.","Huyện Hải Lăng có gần 17.000 ngôi nhà bị ngập, là địa phương chịu thiệt hại nặng nề nhất tại tỉnh Quảng Trị.","Huyện Hải Lăng có gần 17.000 ngôi nhà bị ngập, là địa phương chịu thiệt hại nặng nề nhất tại tỉnh Quảng Trị.",OK,HIGH
NTTgihBWFoQ,6,43.0,47.0,4.0,"Do lụt ngâm lâu ngày nên người dân đang khó khăn, thiếu thốn, đủ điều.","Do lũ ngâm lâu ngày, người dân tỉnh Quảng Trị đang gặp rất nhiều khó khăn, thiếu thốn về nước uống, lương thực và thực phẩm.","Do lụt ngâm lâu ngày nên người dân đang khó khăn, thiếu thốn, đủ điều.",REVERT,MEDIUM
NTTgihBWFoQ,7,61.0,70.0,9.0,"Theo thống kế chưa đầy đủ, hiện tại ở huyền Hải Lăng có khoảng trên 10 ngàn tấn lúa bị ướt do lụt ngâm lâu ngày.","Theo thống kê chưa đầy đủ, hiện tại ở huyện Hải Lăng có khoảng trên 10.000 tấn lúa bị ướt do ngập lụt lâu ngày.","Theo thống kê chưa đầy đủ, hiện tại ở huyện Hải Lăng có khoảng trên 10.000 tấn lúa bị ướt do ngập lụt lâu ngày.",OK,HIGH
NTTgihBWFoQ,8,70.0,75.0,5.0,"Hàng chục ngàn gia súc, gia cầm bị chết, gần 100 hectare nuôi trồng thủy sản bị cuốn trôi.","Hàng chục ngàn gia súc, gia cầm đã bị chết, và gần 100 hectare nuôi trồng thủy sản bị cuốn trôi do lũ lụt tại tỉnh Quảng Trị.","Hàng chục ngàn gia súc, gia cầm bị chết, gần 100 hectare nuôi trồng thủy sản bị cuốn trôi.",REVERT,HIGH
NTTgihBWFoQ,9,90.0,103.0,13.0,"Tính đến thời điểm này, tỉnh Quảng Trị đã có 3 người chết, 7 người mất tích.","Tính đến thời điểm này, tỉnh Quảng Trị đã ghi nhận 3 người chết và 7 người mất tích do ảnh hưởng của lũ lụt.","Tính đến thời điểm này, tỉnh Quảng Trị đã có 3 người chết, 7 người mất tích.",REVERT,HIGH
